ROI,Effect,MeanEffect,StdEffect,StderrEffect
LIFGorb,agt,0.155716,0.080251,0.046333
LIFGorb,pat,0.172751,0.129685,0.074874
LIFG,agt,0.058972,0.198343,0.114513
LIFG,pat,0.279315,0.262401,0.151498
LMFG,agt,0.221240,0.342641,0.197824
LMFG,pat,0.445368,0.175632,0.101401
LAntTemp,agt,-0.093505,0.212301,0.122572
LAntTemp,pat,0.005759,0.125344,0.072367
LPostTemp,agt,0.055528,0.334903,0.193356
LPostTemp,pat,0.202299,0.177853,0.102683
LAngG,agt,0.088501,0.295210,0.170440
LAngG,pat,0.259168,0.208182,0.120194
