ROI,average ROI size,average localizer mask size,inter-subject overlap,mean[1;1],stderr[1;1],T/F,dof,p,p-fdr
LIFGorb,370,37,1.000000,0.375077,0.251883,1.489095,2.000000,0.137448,0.180047
LIFG,743,74,1.000000,0.475272,0.342933,1.385905,2.000000,0.150039,0.180047
LMFG,462,46,1.000000,0.631488,0.168037,3.758029,2.000000,0.032038,0.173804
LAntTemp,1627,162,1.000000,0.164246,0.206259,0.796309,2.000000,0.254679,0.254679
LPostTemp,2948,294,1.000000,0.486125,0.234397,2.073935,2.000000,0.086902,0.173804
LAngG,644,64,1.000000,0.479360,0.204180,2.347730,2.000000,0.071703,0.173804
