Contrast name:,Group (agtpat)
Within-subjects contrast matrix:,c[1;1],c[1;2],c[2;1],c[2;2],
,1.000000,0.000000,0.000000,1.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,
Overlap threshold:,0.500000

Results
ROI#,ROI size,average localizer mask size,inter-subject overlap,h[1;1],h[1;2],stderr[1;1],stderr[1;2],T/F,dof,p,p-fdr
1,370,37,1.000000,0.298855,0.375077,0.152307,0.251883,16.531122,1.000000,0.171342,0.610238
2,743,74,1.000000,0.288611,0.475272,0.344086,0.342933,4.881941,1.000000,0.304800,0.610238
3,462,46,1.000000,0.382659,0.631488,0.199774,0.168037,4.870707,1.000000,0.305119,0.610238
4,1627,162,1.000000,-0.007727,0.164246,0.055990,0.206259,0.158564,1.000000,0.871337,0.871337
5,2948,294,1.000000,0.276128,0.486125,0.123819,0.234397,1.330104,1.000000,0.522694,0.627232
6,644,64,1.000000,0.073698,0.479360,0.178687,0.204180,1.452266,1.000000,0.506076,0.627232
