ROI,Measure,Subject#1,Subject#2,Subject#3,Subject#4,Subject#5,Subject#6,Subject#7,Subject#8,Subject#9,Subject#10,Subject#11,Subject#12,Subject#13,Subject#14,Subject#15,Subject#16,,Average,Standard error
ROI#6,Between_FW_AV,0.156535,0.180415,0.209656,0.900371,0.439872,-0.758070,-0.297604,-0.140196,0.163033,0.127962,0.201597,-0.806032,0.287813,0.135919,0.179299,0.615527,,0.099756,0.109439
ROI#4,Within_N,0.465771,-0.228846,-0.105385,0.265149,1.009869,-0.165582,-0.656446,-0.655380,0.424696,0.462378,0.096266,-0.361826,-0.081256,0.275018,0.191271,0.350239,,0.080371,0.110508
ROI#4,Within_AJ,0.573966,-0.152016,0.348362,0.189907,0.945346,0.020807,-0.469180,-0.721109,0.073438,0.130014,0.152322,-0.034675,0.122734,0.382279,0.066854,0.236903,,0.116622,0.095636
ROI#4,Within_V,0.442568,-0.083909,0.274963,0.369782,1.043461,-0.259534,-0.455444,-0.682239,0.472044,0.237638,0.274902,-0.230288,-0.053690,0.448859,0.093525,0.348966,,0.140100,0.105535
ROI#4,Within_AV,0.469264,-0.004103,0.450908,0.385111,1.029933,-0.311268,-0.506982,-0.589462,0.348465,0.134736,0.367852,-0.192987,-0.096575,0.460517,0.117379,0.350552,,0.150834,0.104885
ROI#4,Within_FW,0.443040,-0.263696,0.290582,0.333320,0.724255,-0.203408,-0.584362,-0.839356,0.341400,0.352293,-0.043779,-0.177722,-0.317138,0.213936,-0.057321,0.492919,,0.044060,0.106242
ROI#4,Between_N_AJ,0.515734,-0.197523,0.162522,0.255991,0.969106,-0.063089,-0.535154,-0.682218,0.245370,0.267652,0.108613,-0.197918,0.016472,0.379041,0.148369,0.300843,,0.105863,0.098992
ROI#4,Between_N_V,0.452554,-0.159610,0.058532,0.308198,1.018865,-0.215177,-0.535248,-0.669149,0.361431,0.333084,0.129086,-0.298295,-0.087607,0.363735,0.127652,0.297899,,0.092872,0.104115
ROI#4,Between_N_AV,0.457030,-0.123890,0.153004,0.303465,1.012814,-0.239786,-0.545025,-0.614583,0.335834,0.267554,0.124198,-0.283674,-0.124133,0.386251,0.125161,0.336200,,0.098151,0.102413
ROI#4,Between_N_FW,0.458257,-0.213136,0.085986,0.262072,0.831033,-0.191499,-0.585386,-0.734323,0.324327,0.426705,-0.034379,-0.292089,-0.259407,0.225423,0.040758,0.417674,,0.047626,0.103529
