ROI#4,Between_V_Adv,1.586061,0.722823,0.104887,1.329583,0.438419,0.427593,0.848423,,0.779684,0.198589
ROI#5,Within_N,2.093420,1.779352,0.586325,1.987471,1.285199,0.355977,1.098009,,1.312251,0.256923
ROI#5,Within_Adj,1.542742,1.819237,0.591147,1.904521,1.593001,0.899912,0.823698,,1.310608,0.199311
ROI#5,Within_Adv,0.983422,1.006726,0.500274,1.968669,1.000167,0.083371,0.822618,,0.909321,0.218353
ROI#5,Within_V,1.844883,2.091238,0.330399,1.646384,1.235084,0.203367,0.867542,,1.174128,0.278858
ROI#5,Between_N_Adj,1.844469,1.863340,0.687606,1.819193,1.478249,0.600289,0.918329,,1.315925,0.214012
ROI#5,Between_N_Adv,1.399035,1.147775,0.471445,1.477744,1.301534,0.074146,0.816694,,0.955482,0.198598
ROI#5,Between_N_V,2.008891,1.979569,0.488556,1.692839,1.255198,0.312086,0.895082,,1.233174,0.262215
ROI#5,Between_Adj_N,1.844469,1.863340,0.687606,1.819193,1.478249,0.600289,0.918329,,1.315925,0.214012
ROI#5,Between_Adj_Adv,1.230147,1.245749,0.457450,1.785737,1.434298,0.290410,0.797339,,1.034447,0.204124
ROI#5,Between_Adj_V,1.789775,1.748506,0.359784,1.788694,1.448760,0.395467,0.858149,,1.198448,0.245299
ROI#5,Between_Adv_N,1.399035,1.147775,0.471445,1.477744,1.301534,0.074146,0.816694,,0.955482,0.198598
ROI#5,Between_Adv_Adj,1.230147,1.245749,0.457450,1.785737,1.434298,0.290410,0.797339,,1.034447,0.204124
ROI#5,Between_Adv_V,1.321077,1.179925,0.400554,1.707478,1.290355,0.005693,0.948530,,0.979087,0.221889
ROI#5,Between_V_N,2.008891,1.979569,0.488556,1.692839,1.255198,0.312086,0.895082,,1.233174,0.262215
ROI#5,Between_V_Adj,1.789775,1.748506,0.359784,1.788694,1.448760,0.395467,0.858149,,1.198448,0.245299
ROI#5,Between_V_Adv,1.321077,1.179925,0.400554,1.707478,1.290355,0.005693,0.948530,,0.979087,0.221889
ROI#2,Within_N,1.973328,1.451021,0.837546,1.081815,1.037414,0.843262,1.356167,,1.225793,0.152738
ROI#2,Within_Adj,1.140825,1.446093,0.904926,1.345550,1.221930,0.925730,0.933914,,1.131281,0.082486
ROI#2,Within_Adv,0.721066,0.478872,0.660864,1.276722,0.957622,0.781409,0.853595,,0.818593,0.095321
ROI#2,Within_V,1.385010,1.209420,0.655721,1.025507,1.164002,0.552914,0.824359,,0.973848,0.115893
ROI#2,Between_N_Adj,1.502901,1.323670,0.842338,1.142708,1.070886,0.854355,1.182553,,1.131344,0.090198
ROI#2,Between_N_Adv,1.143087,0.814100,0.596791,0.717618,0.955853,0.749556,0.804333,,0.825905,0.066930
ROI#2,Between_N_V,1.435281,1.305143,0.800849,0.994066,1.088497,0.697502,1.012699,,1.047720,0.098299
ROI#2,Between_Adj_N,1.502901,1.323670,0.842338,1.142708,1.070886,0.854355,1.182553,,1.131344,0.090198
ROI#2,Between_Adj_Adv,1.041403,0.835604,0.700550,0.935393,1.081748,0.897281,0.809203,,0.900169,0.050346
ROI#2,Between_Adj_V,1.328530,1.262901,0.787031,1.121472,1.204562,0.709812,0.973088,,1.055342,0.090304
ROI#2,Between_Adv_N,1.143087,0.814100,0.596791,0.717618,0.955853,0.749556,0.804333,,0.825905,0.066930
ROI#2,Between_Adv_Adj,1.041403,0.835604,0.700550,0.935393,1.081748,0.897281,0.809203,,0.900169,0.050346
ROI#2,Between_Adv_V,1.056763,0.939400,0.650600,0.911633,0.982124,0.687772,0.878361,,0.872379,0.056773
ROI#2,Between_V_N,1.435281,1.305143,0.800849,0.994066,1.088497,0.697502,1.012699,,1.047720,0.098299
ROI#2,Between_V_Adj,1.328530,1.262901,0.787031,1.121472,1.204562,0.709812,0.973088,,1.055342,0.090304
ROI#2,Between_V_Adv,1.056763,0.939400,0.650600,0.911633,0.982124,0.687772,0.878361,,0.872379,0.056773
ROI#1,Within_N,2.213930,1.372950,1.207436,1.454367,1.210336,1.165932,1.928943,,1.507699,0.153731
ROI#1,Within_Adj,1.727747,1.409306,1.349488,1.480387,1.091857,1.393011,1.577571,,1.432767,0.074886
ROI#1,Within_Adv,1.302166,0.892789,0.948365,1.257182,1.013121,0.883828,1.146314,,1.063395,0.065201
ROI#1,Within_V,1.983821,1.443953,1.135745,1.184158,1.119174,1.158209,1.650181,,1.382177,0.125061
ROI#1,Between_N_Adj,1.968532,1.301561,1.243040,1.341420,1.072729,1.296411,1.737824,,1.423074,0.118444
ROI#1,Between_N_Adv,1.585613,0.868994,0.945014,0.939134,0.969309,0.943482,1.456150,,1.101100,0.109924
ROI#1,Between_N_V,2.037096,1.319801,1.244302,1.055934,1.105561,1.117728,1.725438,,1.372266,0.139885
ROI#1,Between_Adj_N,1.968532,1.301561,1.243040,1.341420,1.072729,1.296411,1.737824,,1.423074,0.118444
