"","Group","ROIName","ROI","contrastName","themean","sterr","se_up","se_down"
"1","LHLang","LocalizerAverage",0,"agt",0.284378416666667,0.0745390530326994,0.358917469699366,0.209839363633967
"2","LHLang","LocalizerAverage",0,"pat",0.385724416666667,0.0425264095318307,0.428250826198497,0.343198007134836
"3","MDLeft","LocalizerAverage",0,"agt",0.17700475,0.0872027171899797,0.26420746718998,0.0898020328100203
"4","MDLeft","LocalizerAverage",0,"pat",0.332471416666667,0.0217821116351648,0.354253528301831,0.310689305031502
"5","MDRight","LocalizerAverage",0,"agt",0.170597666666667,0.0882123770138997,0.258810043680566,0.0823852896527669
"6","MDRight","LocalizerAverage",0,"pat",0.275610111111111,0.0902074316127943,0.365817542723905,0.185402679498317
"7","ToM","LocalizerAverage",0,"agt",-0.10677780952381,0.0153457751958906,-0.0914320343279189,-0.1221235847197
"8","ToM","LocalizerAverage",0,"pat",-0.017379,0.10165752362957,0.0842785236295701,-0.11903652362957
