Subject,Session/Partition,Localizer,agt,pat
632_FED_20170825a_3T2_PL2017,1,/mindhive/evlab/u/Shared/SUBJECTS/632_FED_20170825a_3T2_PL2017/firstlevel_langlocSN/locT_0003_percentile-ROI-level0.1.img,/mindhive/evlab/u/Shared/SUBJECTS/632_FED_20170825a_3T2_PL2017/firstlevel_AgentPatient/con_0001.nii,/mindhive/evlab/u/Shared/SUBJECTS/632_FED_20170825a_3T2_PL2017/firstlevel_AgentPatient/con_0002.nii
641_FED_20170824a_3T2_PL2017,1,/mindhive/evlab/u/Shared/SUBJECTS/641_FED_20170824a_3T2_PL2017/firstlevel_langlocSN/locT_0003_percentile-ROI-level0.1.img,/mindhive/evlab/u/Shared/SUBJECTS/641_FED_20170824a_3T2_PL2017/firstlevel_AgentPatient/con_0001.nii,/mindhive/evlab/u/Shared/SUBJECTS/641_FED_20170824a_3T2_PL2017/firstlevel_AgentPatient/con_0002.nii
