ROI,average ROI size,average localizer mask size,inter-subject overlap,mean[1;1],stderr[1;1],T/F,dof,p,p-fdr
LIFGorb,370,37,1.000000,0.153753,0.080178,1.917634,1.000000,0.153005,0.454920
LIFG,743,74,1.000000,-0.055443,0.008220,-6.745025,1.000000,0.953149,0.953149
LMFG,462,46,1.000000,0.299547,0.314653,0.951992,1.000000,0.257827,0.454920
LAntTemp,1627,162,1.000000,0.018686,0.085508,0.218523,1.000000,0.431519,0.517822
LPostTemp,2948,294,1.000000,0.215817,0.187301,1.152252,1.000000,0.227520,0.454920
LAngG,644,64,1.000000,0.178344,0.250866,0.710915,1.000000,0.303280,0.454920
