ROI,average ROI size,average localizer mask size,inter-subject overlap,mean[1;agt],mean[1;pat],stderr[1;agt],stderr[1;pat],T/F,dof,p,p-fdr
LIFGorb,370,37,1.000000,0.153753,0.130980,0.080178,0.107628,NaN,0.000000,NaN,NaN
LIFG,743,74,1.000000,-0.055443,0.135783,0.008220,0.083961,NaN,0.000000,NaN,NaN
LMFG,462,46,1.000000,0.299547,0.490195,0.314653,0.157538,NaN,0.000000,NaN,NaN
LAntTemp,1627,162,1.000000,0.018686,-0.032691,0.085508,0.106188,NaN,0.000000,NaN,NaN
LPostTemp,2948,294,1.000000,0.215817,0.265998,0.187301,0.139495,NaN,0.000000,NaN,NaN
LAngG,644,64,1.000000,0.178344,0.307402,0.250866,0.190684,NaN,0.000000,NaN,NaN
