ROI,average ROI size,average localizer mask size,inter-subject overlap,mean[1;1],stderr[1;1],T/F,dof,p,p-fdr
LIFGorb,370,37,1.000000,0.130980,0.107628,1.216964,1.000000,0.218947,0.262737
LIFG,743,74,1.000000,0.135783,0.083961,1.617204,1.000000,0.176281,0.262737
LMFG,462,46,1.000000,0.490195,0.157538,3.111604,1.000000,0.098979,0.262737
LAntTemp,1627,162,1.000000,-0.032691,0.106188,-0.307859,1.000000,0.595064,0.595064
LPostTemp,2948,294,1.000000,0.265998,0.139495,1.906862,1.000000,0.153742,0.262737
LAngG,644,64,1.000000,0.307402,0.190684,1.612106,1.000000,0.176731,0.262737
