ROI,Effect,MeanEffect,StdEffect,StderrEffect
LIFGorb,agt,0.153753,0.113389,0.080178
LIFGorb,pat,0.130980,0.152209,0.107628
LIFG,agt,-0.055443,0.011625,0.008220
LIFG,pat,0.135783,0.118739,0.083961
LMFG,agt,0.299547,0.444987,0.314653
LMFG,pat,0.490195,0.222792,0.157538
LAntTemp,agt,0.018686,0.120927,0.085508
LAntTemp,pat,-0.032691,0.150173,0.106188
LPostTemp,agt,0.215817,0.264883,0.187301
LPostTemp,pat,0.265998,0.197276,0.139495
LAngG,agt,0.178344,0.354778,0.250866
LAngG,pat,0.307402,0.269667,0.190684
