ROI,average ROI size,average localizer mask size,inter-subject overlap,mean[1;1],stderr[1;1],T/F,dof,p,p-fdr
LIFGorb,370,37,1.000000,0.488971,0.256446,1.906724,2.000000,0.098405,0.196811
LIFG,743,74,1.000000,0.509815,0.220854,2.308383,2.000000,0.073650,0.196811
LMFG,462,46,1.000000,0.523807,0.123975,4.225114,2.000000,0.025855,0.155132
LAntTemp,1627,162,1.000000,0.100342,0.387637,0.258855,2.000000,0.409976,0.413360
LPostTemp,2948,294,1.000000,0.502679,0.407558,1.233391,2.000000,0.171359,0.257038
LAngG,644,64,1.000000,0.136814,0.549858,0.248817,2.000000,0.413360,0.413360
