ROI,average ROI size,average localizer mask size,inter-subject overlap,mean[1;S],mean[1;N],mean[1;S-N],stderr[1;S],stderr[1;N],stderr[1;S-N],T/F,dof,p,p-fdr
LIFGorb,370,37,1.000000,0.488971,0.033614,0.455357,0.256446,0.554565,0.332755,NaN,0.000000,NaN,NaN
LIFG,743,74,1.000000,0.509815,0.285502,0.224314,0.220854,0.379245,0.232435,NaN,0.000000,NaN,NaN
LMFG,462,46,1.000000,0.523807,0.277352,0.246454,0.123975,0.373603,0.251501,NaN,0.000000,NaN,NaN
LAntTemp,1627,162,1.000000,0.100342,-0.122907,0.223249,0.387637,0.571857,0.255427,NaN,0.000000,NaN,NaN
LPostTemp,2948,294,1.000000,0.502679,0.285327,0.217352,0.407558,0.471525,0.097013,NaN,0.000000,NaN,NaN
LAngG,644,64,1.000000,0.136814,-0.102020,0.238835,0.549858,0.518506,0.228032,NaN,0.000000,NaN,NaN
