ROI,average ROI size,average localizer mask size,inter-subject overlap,mean[1;1],stderr[1;1],T/F,dof,p,p-fdr
LIFGorb,370,37,1.000000,0.455357,0.332755,1.368444,2.000000,0.152309,0.237136
LIFG,743,74,1.000000,0.224314,0.232435,0.965060,2.000000,0.218167,0.237136
LMFG,462,46,1.000000,0.246454,0.251501,0.979933,2.000000,0.215226,0.237136
LAntTemp,1627,162,1.000000,0.223249,0.255427,0.874024,2.000000,0.237136,0.237136
LPostTemp,2948,294,1.000000,0.217352,0.097013,2.240448,2.000000,0.077187,0.237136
LAngG,644,64,1.000000,0.238835,0.228032,1.047372,2.000000,0.202422,0.237136
