"ROI","average.ROI.size","average.localizer.mask.size","inter.subject.overlap","sigChange","SubjectNumber","Contrast"
"1","1038","103","1.000000","0.703931","1","1"
"2","1399","139","1.000000","0.514451","1","1"
"3","4863","486","1.000000","0.217658","1","1"
"4","5104","510","1.000000","0.015297","1","1"
"5","888","88","1.000000","-0.144844","1","1"
"6","1015","101","1.000000","-0.333207","1","1"
"7","3526","352","1.000000","0.482844","1","1"
"8","3381","338","1.000000","0.515460","1","1"
"9","1858","185","1.000000","0.301445","1","1"
"10","1770","177","1.000000","0.048160","1","1"
"11","2147","214","1.000000","0.310238","1","1"
"12","2371","237","1.000000","-0.125339","1","1"
"13","2447","244","1.000000","0.494814","1","1"
"14","1345","134","1.000000","0.206953","1","1"
"15","2065","206","1.000000","0.694057","1","1"
"16","2222","222","1.000000","0.435673","1","1"
"17","1615","161","1.000000","0.047394","1","1"
"18","1958","195","1.000000","-0.119690","1","1"
"Weights","","","","","1","1"
"ROI#","Subject#1","Subject#2","Subject#3","Subject#4","1","1"
"1","1.000000","1.000000","1.000000","1.000000","1","1"
"2","1.000000","1.000000","1.000000","1.000000","1","1"
"3","1.000000","1.000000","1.000000","1.000000","1","1"
"4","1.000000","1.000000","1.000000","1.000000","1","1"
"5","1.000000","1.000000","1.000000","1.000000","1","1"
"6","1.000000","1.000000","1.000000","1.000000","1","1"
"7","1.000000","1.000000","1.000000","1.000000","1","1"
"8","1.000000","1.000000","1.000000","1.000000","1","1"
"9","1.000000","1.000000","1.000000","1.000000","1","1"
"10","1.000000","1.000000","1.000000","1.000000","1","1"
"11","1.000000","1.000000","1.000000","1.000000","1","1"
"12","1.000000","1.000000","1.000000","1.000000","1","1"
"13","1.000000","1.000000","1.000000","1.000000","1","1"
"14","1.000000","1.000000","1.000000","1.000000","1","1"
"15","1.000000","1.000000","1.000000","1.000000","1","1"
"16","1.000000","1.000000","1.000000","1.000000","1","1"
"17","1.000000","1.000000","1.000000","1.000000","1","1"
"18","1.000000","1.000000","1.000000","1.000000","1","1"
"quality control (localizer mask sizes)","","","","","1","1"
"Subject#","Session/Partition#","filename","ROI#1","ROI#2","1","1"
"ROI#10","ROI#11","ROI#12","ROI#13","ROI#14","1","1"
"1","1","/mindhive/evlab/u/Shared/SUBJECTS/301_FED_20150708c_3T2/firstlevel_spatialFIN/locT_0003_percentile-ROI-level0.1.img","103","139","1","1"
"177","214","237","244","134","1","1"
"2","1","/mindhive/evlab/u/Shared/SUBJECTS/168_KAN_parametric_11/firstlevel_spatialFIN/locT_0003_percentile-ROI-level0.1.img","103","139","1","1"
"177","214","237","244","134","1","1"
"3","1","/mindhive/evlab/u/Shared/SUBJECTS/473_FED_20161102a_3T1/firstlevel_spatialFIN/locT_0003_percentile-ROI-level0.1.img","103","139","1","1"
"177","214","237","244","134","1","1"
"4","1","/mindhive/evlab/u/Shared/SUBJECTS/498_FED_20161121a_3T1/firstlevel_spatialFIN/locT_0003_percentile-ROI-level0.1.img","103","139","1","1"
"177","214","237","244","134","1","1"
"1","1038","103","1.000000","0.567264","1","2"
"2","1399","139","1.000000","0.333217","1","2"
"3","4863","486","1.000000","0.188569","1","2"
"4","5104","510","1.000000","-0.200450","1","2"
"5","888","88","1.000000","-0.160843","1","2"
"6","1015","101","1.000000","-0.190147","1","2"
"7","3526","352","1.000000","0.430675","1","2"
"8","3381","338","1.000000","0.367233","1","2"
"9","1858","185","1.000000","0.287030","1","2"
"10","1770","177","1.000000","0.062571","1","2"
"11","2147","214","1.000000","0.345368","1","2"
"12","2371","237","1.000000","0.003908","1","2"
"13","2447","244","1.000000","0.346154","1","2"
"14","1345","134","1.000000","-0.033440","1","2"
"15","2065","206","1.000000","0.556006","1","2"
"16","2222","222","1.000000","0.206052","1","2"
"17","1615","161","1.000000","0.153829","1","2"
"18","1958","195","1.000000","-0.021776","1","2"
"Weights","","","","","1","2"
"ROI#","Subject#1","Subject#2","Subject#3","","1","2"
"1","1.000000","1.000000","1.000000","","1","2"
"2","1.000000","1.000000","1.000000","","1","2"
"3","1.000000","1.000000","1.000000","","1","2"
"4","1.000000","1.000000","1.000000","","1","2"
"5","1.000000","1.000000","1.000000","","1","2"
"6","1.000000","1.000000","1.000000","","1","2"
"7","1.000000","1.000000","1.000000","","1","2"
"8","1.000000","1.000000","1.000000","","1","2"
"9","1.000000","1.000000","1.000000","","1","2"
"10","1.000000","1.000000","1.000000","","1","2"
"11","1.000000","1.000000","1.000000","","1","2"
"12","1.000000","1.000000","1.000000","","1","2"
"13","1.000000","1.000000","1.000000","","1","2"
"14","1.000000","1.000000","1.000000","","1","2"
"15","1.000000","1.000000","1.000000","","1","2"
"16","1.000000","1.000000","1.000000","","1","2"
"17","1.000000","1.000000","1.000000","","1","2"
"18","1.000000","1.000000","1.000000","","1","2"
"quality control (localizer mask sizes)","","","","","1","2"
"Subject#","Session/Partition#","filename","ROI#1","ROI#3","1","2"
"ROI#10","ROI#11","ROI#12","ROI#13","ROI#15","1","2"
"1","1","/mindhive/evlab/u/Shared/SUBJECTS/301_FED_20150708c_3T2/firstlevel_spatialFIN/locT_0003_percentile-ROI-level0.1.img","103","486","1","2"
"177","214","237","244","206","1","2"
"2","1","/mindhive/evlab/u/Shared/SUBJECTS/168_KAN_parametric_11/firstlevel_spatialFIN/locT_0003_percentile-ROI-level0.1.img","103","486","1","2"
"177","214","237","244","206","1","2"
"3","1","/mindhive/evlab/u/Shared/SUBJECTS/473_FED_20161102a_3T1/firstlevel_spatialFIN/locT_0003_percentile-ROI-level0.1.img","103","486","1","2"
"177","214","237","244","206","1","2"
