ROI,average ROI size,average localizer mask size,inter-subject overlap,mean[1;1],stderr[1;1],T/F,dof,p,p-fdr
LIFGorb,370,37,1.000000,0.656808,0.335835,1.955749,1.000000,0.150451,0.316061
LIFG,743,74,1.000000,0.617144,0.334322,1.845959,1.000000,0.158030,0.316061
LMFG,462,46,1.000000,0.647594,0.011813,54.822207,1.000000,0.005806,0.034833
LAntTemp,1627,162,1.000000,0.327614,0.543902,0.602339,1.000000,0.327432,0.392919
LPostTemp,2948,294,1.000000,0.663031,0.648978,1.021654,1.000000,0.246591,0.369886
LAngG,644,64,1.000000,-0.111537,0.849703,-0.131266,1.000000,0.541546,0.541546
