ROI,average ROI size,average localizer mask size,inter-subject overlap,mean[1;S],mean[1;N],mean[1;S-N],stderr[1;S],stderr[1;N],stderr[1;S-N],T/F,dof,p,p-fdr
LIFGorb,370,37,1.000000,0.656808,0.529848,0.126961,0.335835,0.428816,0.092981,NaN,-1.000000,NaN,NaN
LIFG,743,74,1.000000,0.617144,0.624186,-0.007042,0.334322,0.295565,0.038756,NaN,-1.000000,NaN,NaN
LMFG,462,46,1.000000,0.647594,0.649529,-0.001935,0.011813,0.056498,0.068311,NaN,-1.000000,NaN,NaN
LAntTemp,1627,162,1.000000,0.327614,0.359689,-0.032075,0.543902,0.531381,0.012522,NaN,-1.000000,NaN,NaN
LPostTemp,2948,294,1.000000,0.663031,0.540153,0.122878,0.648978,0.687167,0.038189,NaN,-1.000000,NaN,NaN
LAngG,644,64,1.000000,-0.111537,-0.123999,0.012462,0.849703,0.897271,0.047568,NaN,-1.000000,NaN,NaN
