ROI,average ROI size,average localizer mask size,inter-subject overlap,mean[1;1],stderr[1;1],T/F,dof,p,p-fdr
LIFGorb,370,37,1.000000,0.529848,0.428816,1.235607,1.000000,0.216577,0.372708
LIFG,743,74,1.000000,0.624186,0.295565,2.111838,1.000000,0.140770,0.372708
LMFG,462,46,1.000000,0.649529,0.056498,11.496496,1.000000,0.027618,0.165708
LAntTemp,1627,162,1.000000,0.359689,0.531381,0.676895,1.000000,0.310590,0.372708
LPostTemp,2948,294,1.000000,0.540153,0.687167,0.786058,1.000000,0.287948,0.372708
LAngG,644,64,1.000000,-0.123999,0.897271,-0.138196,1.000000,0.543712,0.543712
