"ROI","average.ROI.size","average.localizer.mask.size","inter.subject.overlap","sigChange","SubjectNumber","Contrast"
"3","1","/mindhive/evlab/u/Shared/SUBJECTS/498_FED_20170210c_3T2/firstlevel_ToMshort/locT_0003_percentile-ROI-level0.1.img","188","341","2","2"
"1","1885","188","1.000000","-0.219210","3","1"
"2","3322","332","1.000000","0.367876","3","1"
"3","1525","152","1.000000","-0.340291","3","1"
"4","4182","418","1.000000","-0.580442","3","1"
"5","3419","341","1.000000","0.002579","3","1"
"6","1313","131","1.000000","-0.019614","3","1"
"7","4051","405","1.000000","-0.018440","3","1"
"Weights","","","","","3","1"
"ROI#","Subject#1","Subject#2","Subject#3","","3","1"
"1","1.000000","1.000000","1.000000","","3","1"
"2","1.000000","1.000000","1.000000","","3","1"
"3","1.000000","1.000000","1.000000","","3","1"
"4","1.000000","1.000000","1.000000","","3","1"
"5","1.000000","1.000000","1.000000","","3","1"
"6","1.000000","1.000000","1.000000","","3","1"
"7","1.000000","1.000000","1.000000","","3","1"
"quality control (localizer mask sizes)","","","","","3","1"
"Subject#","Session/Partition#","filename","ROI#1","ROI#6","3","1"
"1","1","/mindhive/evlab/u/Shared/SUBJECTS/301_FED_20150708c_3T2/firstlevel_ToMshort/locT_0003_percentile-ROI-level0.1.img","188","131","3","1"
"2","1","/mindhive/evlab/u/Shared/SUBJECTS/473_FED_20170210b_3T2/firstlevel_ToMshort/locT_0003_percentile-ROI-level0.1.img","188","131","3","1"
"3","1","/mindhive/evlab/u/Shared/SUBJECTS/498_FED_20170210c_3T2/firstlevel_ToMshort/locT_0003_percentile-ROI-level0.1.img","188","131","3","1"
"1","1885","188","1.000000","0.183954","3","2"
"2","3322","332","1.000000","0.624441","3","2"
"3","1525","152","1.000000","0.048630","3","2"
"4","4182","418","1.000000","-0.211676","3","2"
"5","3419","341","1.000000","0.293940","3","2"
"6","1313","131","1.000000","-0.046219","3","2"
"7","4051","405","1.000000","0.198459","3","2"
"Weights","","","","","3","2"
"ROI#","Subject#1","Subject#2","Subject#3","","3","2"
"1","1.000000","1.000000","1.000000","","3","2"
"2","1.000000","1.000000","1.000000","","3","2"
"3","1.000000","1.000000","1.000000","","3","2"
"4","1.000000","1.000000","1.000000","","3","2"
"5","1.000000","1.000000","1.000000","","3","2"
"6","1.000000","1.000000","1.000000","","3","2"
"7","1.000000","1.000000","1.000000","","3","2"
"quality control (localizer mask sizes)","","","","","3","2"
"Subject#","Session/Partition#","filename","ROI#1","ROI#7","3","2"
"1","1","/mindhive/evlab/u/Shared/SUBJECTS/301_FED_20150708c_3T2/firstlevel_ToMshort/locT_0003_percentile-ROI-level0.1.img","188","405","3","2"
"2","1","/mindhive/evlab/u/Shared/SUBJECTS/473_FED_20170210b_3T2/firstlevel_ToMshort/locT_0003_percentile-ROI-level0.1.img","188","405","3","2"
"3","1","/mindhive/evlab/u/Shared/SUBJECTS/498_FED_20170210c_3T2/firstlevel_ToMshort/locT_0003_percentile-ROI-level0.1.img","188","405","3","2"
