"ROI","average.ROI.size","average.localizer.mask.size","inter.subject.overlap","sigChange","SubjectNumber","Contrast"
"1","2948","294","1.000000","1.167916","1","1"
"2","1627","162","1.000000","0.592609","1","1"
"3","644","64","1.000000","0.463286","1","1"
"4","743","74","1.000000","1.602528","1","1"
"5","462","46","1.000000","3.202968","1","1"
"6","370","37","1.000000","1.020933","1","1"
"1","2948","294","1.000000","-0.060988","1","2"
"2","1627","162","1.000000","-0.177192","1","2"
"3","644","64","1.000000","-0.152307","1","2"
"4","743","74","1.000000","0.172575","1","2"
"5","462","46","1.000000","1.321541","1","2"
"6","370","37","1.000000","0.046153","1","2"
"1","2948","294","1.000000","1.228904","1","3"
"2","1627","162","1.000000","0.769801","1","3"
"3","644","64","1.000000","0.615593","1","3"
"4","743","74","1.000000","1.429953","1","3"
"5","462","46","1.000000","1.881427","1","3"
"6","370","37","1.000000","0.974780","1","3"
"1","2948","294","1.000000","2.310541","2","1"
"2","1627","162","1.000000","0.981936","2","1"
"3","644","64","1.000000","1.237168","2","1"
"4","743","74","1.000000","1.192053","2","1"
"5","462","46","1.000000","3.148336","2","1"
"6","370","37","1.000000","1.715005","2","1"
"1","2948","294","1.000000","0.454424","2","2"
"2","1627","162","1.000000","-0.163409","2","2"
"3","644","64","1.000000","-0.347623","2","2"
"4","743","74","1.000000","0.484453","2","2"
"5","462","46","1.000000","0.957853","2","2"
"6","370","37","1.000000","0.165963","2","2"
"1","2948","294","1.000000","1.856117","2","3"
"2","1627","162","1.000000","1.145344","2","3"
"3","644","64","1.000000","1.584791","2","3"
"4","743","74","1.000000","0.7076","2","3"
"5","462","46","1.000000","2.190484","2","3"
"6","370","37","1.000000","1.549042","2","3"
"1","2948","294","1.000000","3.092564","3","1"
"2","1627","162","1.000000","1.743719","3","1"
"3","644","64","1.000000","0.473678","3","1"
"4","743","74","1.000000","1.099458","3","1"
"5","462","46","1.000000","1.148311","3","1"
"6","370","37","1.000000","0.882871","3","1"
"1","2948","294","1.000000","1.101457","3","2"
"2","1627","162","1.000000","0.077118","3","2"
"3","644","64","1.000000","-0.434327","3","2"
"4","743","74","1.000000","0.080477","3","2"
"5","462","46","1.000000","0.907133","3","2"
"6","370","37","1.000000","0.314377","3","2"
"1","2948","294","1.000000","1.991107","3","3"
"2","1627","162","1.000000","1.666602","3","3"
"3","644","64","1.000000","0.908005","3","3"
"4","743","74","1.000000","1.018981","3","3"
"5","462","46","1.000000","0.241178","3","3"
"6","370","37","1.000000","0.568494","3","3"
"1","2948","294","1.000000","1.099724","4","1"
"2","1627","162","1.000000","0.509602","4","1"
"3","644","64","1.000000","0.152981","4","1"
"4","743","74","1.000000","0.330817","4","1"
"5","462","46","1.000000","1.250738","4","1"
"6","370","37","1.000000","0.605351","4","1"
"1","2948","294","1.000000","0.206081","4","2"
"2","1627","162","1.000000","-0.014632","4","2"
"3","644","64","1.000000","0.016892","4","2"
"4","743","74","1.000000","0.093219","4","2"
"5","462","46","1.000000","0.502683","4","2"
"6","370","37","1.000000","0.271206","4","2"
"1","2948","294","1.000000","0.893644","4","3"
"2","1627","162","1.000000","0.524234","4","3"
"3","644","64","1.000000","0.136089","4","3"
"4","743","74","1.000000","0.237598","4","3"
"5","462","46","1.000000","0.748055","4","3"
"6","370","37","1.000000","0.334145","4","3"
"1","2948","294","1.000000","1.671667","5","1"
"2","1627","162","1.000000","1.258833","5","1"
"3","644","64","1.000000","0.949102","5","1"
"4","743","74","1.000000","2.019903","5","1"
"5","462","46","1.000000","2.252546","5","1"
"6","370","37","1.000000","2.64279","5","1"
"1","2948","294","1.000000","0.754266","5","2"
"2","1627","162","1.000000","0.082843","5","2"
"3","644","64","1.000000","-0.05636","5","2"
"4","743","74","1.000000","0.730818","5","2"
"5","462","46","1.000000","0.983792","5","2"
"6","370","37","1.000000","0.244153","5","2"
"1","2948","294","1.000000","0.917401","5","3"
"2","1627","162","1.000000","1.17599","5","3"
"3","644","64","1.000000","1.005462","5","3"
"4","743","74","1.000000","1.289085","5","3"
"5","462","46","1.000000","1.268753","5","3"
"6","370","37","1.000000","2.398638","5","3"
