Contrast name:,Group (SNS-N)
Within-subjects contrast matrix:,c[1;1],c[1;2],c[1;3],c[2;1],c[2;2],c[2;3],c[3;1],c[3;2],c[3;3],
,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,
Overlap threshold:,0.000000

Results
ROI#,average ROI size,average localizer mask size,inter-subject overlap,h[1;1],h[1;2],h[1;3],stderr[1;1],stderr[1;2],stderr[1;3],T/F,dof,p,p-fdr
1,2948,294,1.000000,1.868483,0.491048,1.377435,0.375121,0.203614,0.231676,5.937722,2.000000,0.147527,0.226178
2,1627,162,1.000000,1.017340,-0.039054,1.056394,0.226428,0.056346,0.194923,7.039170,2.000000,0.126923,0.226178
3,644,64,1.000000,0.655243,-0.194745,0.849988,0.193271,0.085590,0.237915,2.128229,2.000000,0.335524,0.335524
4,743,74,1.000000,1.248952,0.312308,0.936643,0.281775,0.127682,0.213948,3.401778,2.000000,0.235432,0.282518
5,462,46,1.000000,2.200580,0.934600,1.265979,0.442447,0.130382,0.357208,8.600629,2.000000,0.105942,0.226178
6,370,37,1.000000,1.373390,0.208370,1.165020,0.366251,0.047212,0.370923,5.791043,2.000000,0.150785,0.226178
