Trial,SubjID,Run,Order,ItemNumber,IntendedOnset,ActualOnset,IntendedDuration,ActualDuration,Condition,Flip,FlipMeaning,Sentence,AgentName,AgentShape,PatientName,PatientShape,BaseFilename,BlinkFilename
1,debug,1,A,52,0,0.000481569997646147,0.2,0.201841379002872,Agent,1,flipped,Kyle Square is being rolled by Melissa Oval.,Melissa,Oval,Kyle,Square,Base_flipped_52.jpg,Agent_flipped_52.jpg
2,debug,1,A,55,0.2,0.20295579699814,0.2,0.199721616001625,Patient,0,orig,Melissa Oval is shaking Kyle Square.,Melissa,Oval,Kyle,Square,Base_orig_55.jpg,Patient_orig_55.jpg
3,debug,1,A,30,0.4,0.403217229999427,0.2,0.198744556000747,Agent,1,flipped,Melissa Oval is being balanced by Lily Triangle.,Lily,Triangle,Melissa,Oval,Base_flipped_30.jpg,Agent_flipped_30.jpg
,debug,1,A,NA,0.6,0.602456820000953,0.2,0.19884533199729,0,NA,,NA,NA,NA,NA,NA,,
4,debug,1,A,27,0.8,0.801623180999741,0.2,0.20017769399783,Agent,1,flipped,Melissa Oval is being shaken by Lily Triangle.,Lily,Triangle,Melissa,Oval,Base_flipped_27.jpg,Agent_flipped_27.jpg
,debug,1,A,NA,1,1.00209494599767,0.4,0.399426379000943,0,NA,,NA,NA,NA,NA,NA,,
5,debug,1,A,20,1.4,1.40184079599931,0.2,0.199759687999176,Patient,0,orig,Lily Triangle is bouncing Zach Star.,Lily,Triangle,Zach,Star,Base_orig_20.jpg,Patient_orig_20.jpg
6,debug,1,A,16,1.6,1.60189286099921,0.2,0.199582091998309,Agent,1,flipped,Kyle Square is being stopped by Lily Triangle.,Lily,Triangle,Kyle,Square,Base_flipped_16.jpg,Agent_flipped_16.jpg
7,debug,1,A,43,1.8,1.8017648319983,0.2,0.199650202001067,Agent,1,flipped,Kyle Square is being balanced by Zach Star.,Zach,Star,Kyle,Square,Base_flipped_43.jpg,Agent_flipped_43.jpg
8,debug,1,A,8,2,2.00170592200084,0.2,0.200655488999473,Agent,1,flipped,Zach Star is being rolled by Kyle Square.,Kyle,Square,Zach,Star,Base_flipped_8.jpg,Agent_flipped_8.jpg
9,debug,1,A,54,2.2,2.20268719699743,0.2,0.199328099002742,Agent,1,flipped,Zach Star is being rolled by Melissa Oval.,Melissa,Oval,Zach,Star,Base_flipped_54.jpg,Agent_flipped_54.jpg
10,debug,1,A,13,2.4,2.40230987899849,0.2,0.199761668001884,Patient,0,orig,Kyle Square is balancing Lily Triangle.,Kyle,Square,Lily,Triangle,Base_orig_13.jpg,Patient_orig_13.jpg
,debug,1,A,NA,2.6,2.6023572869999,0.4,0.399052205000771,0,NA,,NA,NA,NA,NA,NA,,
11,debug,1,A,2,3,3.00175206999847,0.2,0.200420558001497,Agent,0,orig,Kyle Square is stopping Zach Star.,Kyle,Square,Zach,Star,Base_orig_2.jpg,Agent_orig_2.jpg
12,debug,1,A,9,3.2,3.20246357499855,0.2,0.200440028002049,Agent,0,orig,Kyle Square is rolling Melissa Oval.,Kyle,Square,Melissa,Oval,Base_orig_9.jpg,Agent_orig_9.jpg
13,debug,1,A,19,3.4,3.40322607999769,0.2,0.198030257000937,Patient,0,orig,Lily Triangle is bouncing Kyle Square.,Lily,Triangle,Kyle,Square,Base_orig_19.jpg,Patient_orig_19.jpg
,debug,1,A,NA,3.6,3.60155322299761,0.2,0.200229874000797,0,NA,,NA,NA,NA,NA,NA,,
14,debug,1,A,58,3.8,3.80210429699946,0.2,0.199941143000615,Agent,1,flipped,Kyle Square is being balanced by Melissa Oval.,Melissa,Oval,Kyle,Square,Base_flipped_58.jpg,Agent_flipped_58.jpg
,debug,1,A,NA,4,4.00234992200058,0.2,0.199047668000276,0,NA,,NA,NA,NA,NA,NA,,
15,debug,1,A,59,4.2,4.20168942899909,0.2,0.19989631000135,Agent,1,flipped,Lily Triangle is being balanced by Melissa Oval.,Melissa,Oval,Lily,Triangle,Base_flipped_59.jpg,Agent_flipped_59.jpg
,debug,1,A,NA,4.4,4.40186844599884,0.2,0.199763838001672,0,NA,,NA,NA,NA,NA,NA,,
16,debug,1,A,30,4.6,4.60193015799814,0.2,0.199378310000611,Patient,1,flipped,Melissa Oval is being balanced by Lily Triangle.,Lily,Triangle,Melissa,Oval,Base_flipped_30.jpg,Patient_flipped_30.jpg
17,debug,1,A,48,4.8,4.80159114699927,0.2,0.200678208999307,Patient,1,flipped,Zach Star is being stopped by Melissa Oval.,Melissa,Oval,Zach,Star,Base_flipped_48.jpg,Patient_flipped_48.jpg
,debug,1,A,NA,5,5.00256340499982,0.2,0.199630790997617,0,NA,,NA,NA,NA,NA,NA,,
18,debug,1,A,31,5.2,5.20250729300096,0.2,0.199551864996465,Agent,1,flipped,Kyle Square is being stopped by Zach Star.,Zach,Star,Kyle,Square,Base_flipped_31.jpg,Agent_flipped_31.jpg
19,debug,1,A,24,5.4,5.40234258399869,0.2,0.199856136001472,Patient,0,orig,Lily Triangle is rolling Melissa Oval.,Lily,Triangle,Melissa,Oval,Base_orig_24.jpg,Patient_orig_24.jpg
20,debug,1,A,7,5.6,5.60248345099899,0.2,0.198905704000936,Patient,0,orig,Kyle Square is rolling Lily Triangle.,Kyle,Square,Lily,Triangle,Base_orig_7.jpg,Patient_orig_7.jpg
,debug,1,A,NA,5.8,5.80167020899898,0.2,0.200028409999504,0,NA,,NA,NA,NA,NA,NA,,
21,debug,1,A,51,6,6.0019947289984,0.2,0.200139725999179,Agent,0,orig,Melissa Oval is bouncing Zach Star.,Melissa,Oval,Zach,Star,Base_orig_51.jpg,Agent_orig_51.jpg
,debug,1,A,NA,6.2,6.20241620099841,0.2,0.199372806000611,0,NA,,NA,NA,NA,NA,NA,,
22,debug,1,A,4,6.4,6.40212306899775,0.2,0.200239211000735,Agent,0,orig,Kyle Square is bouncing Lily Triangle.,Kyle,Square,Lily,Triangle,Base_orig_4.jpg,Agent_orig_4.jpg
23,debug,1,A,35,6.6,6.60283689900098,0.2,0.199523377999867,Agent,1,flipped,Lily Triangle is being bounced by Zach Star.,Zach,Star,Lily,Triangle,Base_flipped_35.jpg,Agent_flipped_35.jpg
24,debug,1,A,44,6.8,6.80267296599777,0.2,0.199385810999956,Patient,0,orig,Zach Star is balancing Lily Triangle.,Zach,Star,Lily,Triangle,Base_orig_44.jpg,Patient_orig_44.jpg
25,debug,1,A,12,7,7.00234041799922,0.2,0.200547731001279,Agent,0,orig,Kyle Square is shaking Melissa Oval.,Kyle,Square,Melissa,Oval,Base_orig_12.jpg,Agent_orig_12.jpg
26,debug,1,A,24,7.2,7.20320600500054,0.2,0.198413674999756,Agent,0,orig,Lily Triangle is rolling Melissa Oval.,Lily,Triangle,Melissa,Oval,Base_orig_24.jpg,Agent_orig_24.jpg
,debug,1,A,NA,7.4,7.40190326499942,0.4,0.399999654000567,0,NA,,NA,NA,NA,NA,NA,,
27,debug,1,A,21,7.8,7.80224077299863,0.2,0.199619306000386,Patient,1,flipped,Melissa Oval is being bounced by Lily Triangle.,Lily,Triangle,Melissa,Oval,Base_flipped_21.jpg,Patient_flipped_21.jpg
28,debug,1,A,32,8,8.00214527799835,0.2,0.199605788002373,Patient,1,flipped,Lily Triangle is being stopped by Zach Star.,Zach,Star,Lily,Triangle,Base_flipped_32.jpg,Patient_flipped_32.jpg
29,debug,1,A,3,8.2,8.20203356999991,0.2,0.19952715099862,Agent,0,orig,Kyle Square is stopping Melissa Oval.,Kyle,Square,Melissa,Oval,Base_orig_3.jpg,Agent_orig_3.jpg
,debug,1,A,NA,8.4,8.40184239700102,0.4,0.3997736229976,0,NA,,NA,NA,NA,NA,NA,,
30,debug,1,A,27,8.8,8.80195445199934,0.2,0.199789381000301,Patient,1,flipped,Melissa Oval is being shaken by Lily Triangle.,Lily,Triangle,Melissa,Oval,Base_flipped_27.jpg,Patient_flipped_27.jpg
