Trial,SubjID,Run,Order,ItemNumber,IntendedOnset,ActualOnset,IntendedDuration,ActualDuration,Condition,Flip,FlipMeaning,Sentence,AgentName,AgentShape,PatientName,PatientShape,BaseFilename,BlinkFilename
1,debug,1,A,52,0,0.000420210999436677,0.04,0.063147854001727,Agent,1,passive,Kyle Square is being rolled by Melissa Oval.,Melissa,Oval,Kyle,Square,Base_passive_52.jpg,Agent_passive_52.jpg
2,debug,1,A,55,0.04,0.0641806119965622,0.04,0.0474265250013559,Patient,0,active,Melissa Oval is shaking Kyle Square.,Melissa,Oval,Kyle,Square,Base_active_55.jpg,Patient_active_55.jpg
3,debug,1,A,30,0.08,0.11301347099652,0.04,0.00987177100614645,Agent,1,passive,Melissa Oval is being balanced by Lily Triangle.,Lily,Triangle,Melissa,Oval,Base_passive_30.jpg,Agent_passive_30.jpg
,debug,1,A,NA,0.12,0.123422055999981,0.04,0.0383368940019864,0,NA,,NA,NA,NA,NA,NA,,
4,debug,1,A,27,0.16,0.162129187003302,0.04,0.049504167996929,Agent,1,passive,Melissa Oval is being shaken by Lily Triangle.,Lily,Triangle,Melissa,Oval,Base_passive_27.jpg,Agent_passive_27.jpg
,debug,1,A,NA,0.2,0.212164151002071,0.08,0.0695918799974606,0,NA,,NA,NA,NA,NA,NA,,
5,debug,1,A,20,0.28,0.282078976000776,0.04,0.0440947189999861,Patient,0,active,Lily Triangle is bouncing Zach Star.,Lily,Triangle,Zach,Star,Base_active_20.jpg,Patient_active_20.jpg
6,debug,1,A,16,0.32,0.326464053003292,0.04,0.0363414649982587,Agent,1,passive,Kyle Square is being stopped by Lily Triangle.,Lily,Triangle,Kyle,Square,Base_passive_16.jpg,Agent_passive_16.jpg
7,debug,1,A,43,0.36,0.363151072997425,0.04,0.0474291580030695,Agent,1,passive,Kyle Square is being balanced by Zach Star.,Zach,Star,Kyle,Square,Base_passive_43.jpg,Agent_passive_43.jpg
8,debug,1,A,8,0.4,0.411157627000648,0.04,0.0495613140010391,Agent,1,passive,Zach Star is being rolled by Kyle Square.,Kyle,Square,Zach,Star,Base_passive_8.jpg,Agent_passive_8.jpg
9,debug,1,A,54,0.44,0.4613408649966,0.04,0.0503545220053638,Agent,1,passive,Zach Star is being rolled by Melissa Oval.,Melissa,Oval,Zach,Star,Base_passive_54.jpg,Agent_passive_54.jpg
10,debug,1,A,13,0.48,0.512321756999881,0.04,0.0113709700017353,Patient,0,active,Kyle Square is balancing Lily Triangle.,Kyle,Square,Lily,Triangle,Base_active_13.jpg,Patient_active_13.jpg
,debug,1,A,NA,0.52,0.52419068999734,0.08,0.0773947699999553,0,NA,,NA,NA,NA,NA,NA,,
11,debug,1,A,2,0.6,0.601972308999393,0.04,0.042531154002063,Agent,0,active,Kyle Square is stopping Zach Star.,Kyle,Square,Zach,Star,Base_active_2.jpg,Agent_active_2.jpg
12,debug,1,A,9,0.64,0.645129247001023,0.04,0.0484171700009028,Agent,0,active,Kyle Square is rolling Melissa Oval.,Kyle,Square,Melissa,Oval,Base_active_9.jpg,Agent_active_9.jpg
13,debug,1,A,19,0.68,0.694202774997393,0.04,0.0334906420030165,Patient,0,active,Lily Triangle is bouncing Kyle Square.,Lily,Triangle,Kyle,Square,Base_active_19.jpg,Patient_active_19.jpg
,debug,1,A,NA,0.72,0.728376660998038,0.04,0.0337256510028965,0,NA,,NA,NA,NA,NA,NA,,
14,debug,1,A,58,0.76,0.762467410997488,0.04,0.0480096700048307,Agent,1,passive,Kyle Square is being balanced by Melissa Oval.,Melissa,Oval,Kyle,Square,Base_passive_58.jpg,Agent_passive_58.jpg
,debug,1,A,NA,0.8,0.811060164996888,0.04,0.0305785410018871,0,NA,,NA,NA,NA,NA,NA,,
15,debug,1,A,59,0.84,0.842029881998315,0.04,0.0396133230024134,Agent,1,passive,Lily Triangle is being balanced by Melissa Oval.,Melissa,Oval,Lily,Triangle,Base_passive_59.jpg,Agent_passive_59.jpg
,debug,1,A,NA,0.88,0.882000083001913,0.04,0.0395814000003156,0,NA,,NA,NA,NA,NA,NA,,
