Trial,SubjID,Run,Order,ItemNumber,IntendedOnset,ActualOnset,IntendedDuration,ActualDuration,Condition,Flip,FlipMeaning,Sentence,AgentName,AgentShape,PatientName,PatientShape,BaseFilename,BlinkFilename
1,debug,,A,25,0,0.00306357500085142,0.08,0.0781208709959174,Patient,1,passive,Kyle Square is being shaken by Lily Triangle.,Lily,Triangle,Kyle,Square,Base_passive_25.jpg,Patient_passive_25.jpg
2,debug,,A,25,0.08,0.0830977759906091,0.08,0.0785236480005551,Agent,1,passive,Kyle Square is being shaken by Lily Triangle.,Lily,Triangle,Kyle,Square,Base_passive_25.jpg,Agent_passive_25.jpg
,debug,,A,NA,0.16,0.162611278996337,0.12,0.121751828992274,Fixation,NA,,NA,NA,NA,NA,NA,,
3,debug,,A,40,0.28,0.285601065988885,0.08,0.0757826050103176,Agent,1,passive,Kyle Square is being shaken by Zach Star.,Zach,Star,Kyle,Square,Base_passive_40.jpg,Agent_passive_40.jpg
4,debug,,A,40,0.36,0.36191346499254,0.08,0.0793255780008622,Agent,0,active,Zach Star is shaking Kyle Square.,Zach,Star,Kyle,Square,Base_active_40.jpg,Agent_active_40.jpg
,debug,,A,NA,0.44,0.441798488987843,0.08,0.0808334170142189,Fixation,NA,,NA,NA,NA,NA,NA,,
5,debug,,A,7,0.52,0.523285044997465,0.08,0.0776391870022053,Agent,0,active,Kyle Square is rolling Lily Triangle.,Kyle,Square,Lily,Triangle,Base_active_7.jpg,Agent_active_7.jpg
,debug,,A,NA,0.6,0.601448033994529,0.04,0.0425317259941949,Fixation,NA,,NA,NA,NA,NA,NA,,
6,debug,,A,8,0.64,0.644746129997657,0.08,0.0782515649916604,Patient,0,active,Kyle Square is rolling Zach Star.,Kyle,Square,Zach,Star,Base_active_8.jpg,Patient_active_8.jpg
7,debug,,A,35,0.72,0.723623837999185,0.08,0.0827812589996029,Agent,1,passive,Lily Triangle is being bounced by Zach Star.,Zach,Star,Lily,Triangle,Base_passive_35.jpg,Agent_passive_35.jpg
,debug,,A,NA,0.8,0.807020929991268,0.04,0.0361711950099561,Fixation,NA,,NA,NA,NA,NA,NA,,
8,debug,,A,8,0.84,0.843897038997966,0.08,0.0789295299910009,Agent,1,passive,Zach Star is being rolled by Kyle Square.,Kyle,Square,Zach,Star,Base_passive_8.jpg,Agent_passive_8.jpg
9,debug,,A,19,0.92,0.92344338199473,0.08,0.0993052660051035,Agent,1,passive,Kyle Square is being bounced by Lily Triangle.,Lily,Triangle,Kyle,Square,Base_passive_19.jpg,Agent_passive_19.jpg
,debug,,A,NA,1,1.02338519599289,0.12,0.098635739996098,Fixation,NA,,NA,NA,NA,NA,NA,,
10,debug,,A,41,1.12,1.12269951299822,0.2,0.20003606499813,Patient,0,active,Zach Star is shaking Lily Triangle.,Zach,Star,Lily,Triangle,Base_active_41.jpg,Patient_active_41.jpg
11,debug,,A,4,1.32,1.32335374699323,0.08,0.0992410430044401,Patient,1,passive,Lily Triangle is being bounced by Kyle Square.,Kyle,Square,Lily,Triangle,Base_passive_4.jpg,Patient_passive_4.jpg
,debug,,A,NA,1.4,1.42321929099853,0.08,0.0599884499970358,Fixation,NA,,NA,NA,NA,NA,NA,,
12,debug,,A,19,1.48,1.48389250299078,0.08,0.0775870090001263,Agent,0,active,Lily Triangle is bouncing Kyle Square.,Lily,Triangle,Kyle,Square,Base_active_19.jpg,Agent_active_19.jpg
,debug,,A,NA,1.56,1.56212556699757,0.08,0.0801478149951436,Fixation,NA,,NA,NA,NA,NA,NA,,
13,debug,,A,8,1.64,1.6430028439936,0.08,0.0794753250083886,Patient,1,passive,Zach Star is being rolled by Kyle Square.,Kyle,Square,Zach,Star,Base_passive_8.jpg,Patient_passive_8.jpg
