Trial,SubjID,Run,Order,ItemNumber,IntendedOnset,ActualOnset,IntendedDuration,ActualDuration,Condition,Flip,FlipMeaning,Sentence,AgentName,AgentShape,PatientName,PatientShape,BaseFilename,BlinkFilename
1,fake,1,A,52,0,0.0020571899949573,2,2.00539534399286,Agent,1,passive,Kyle Square is being rolled by Melissa Oval.,Melissa,Oval,Kyle,Square,Base_passive_52.jpg,Agent_passive_52.jpg
2,fake,1,A,55,2,2.00914793100674,2,1.99338477401761,Patient,0,active,Melissa Oval is shaking Kyle Square.,Melissa,Oval,Kyle,Square,Base_active_55.jpg,Patient_active_55.jpg
3,fake,1,A,30,4,4.00322681898251,2,1.99857037904439,Agent,1,passive,Melissa Oval is being balanced by Lily Triangle.,Lily,Triangle,Melissa,Oval,Base_passive_30.jpg,Agent_passive_30.jpg
,fake,1,A,NA,6,6.00241063599242,2,2.00077207398135,0,NA,,NA,NA,NA,NA,NA,,
4,fake,1,A,27,8,8.00396429299144,2,1.9988593320013,Agent,1,passive,Melissa Oval is being shaken by Lily Triangle.,Lily,Triangle,Melissa,Oval,Base_passive_27.jpg,Agent_passive_27.jpg
,fake,1,A,NA,10,10.0033072140068,4,3.99917028698837,0,NA,,NA,NA,NA,NA,NA,,
5,fake,1,A,20,14,14.0030113190296,2,1.9997075329884,Patient,0,active,Lily Triangle is bouncing Zach Star.,Lily,Triangle,Zach,Star,Base_active_20.jpg,Patient_active_20.jpg
6,fake,1,A,16,16,16.0032307470101,2,2.00033169100061,Agent,1,passive,Kyle Square is being stopped by Lily Triangle.,Lily,Triangle,Kyle,Square,Base_passive_16.jpg,Agent_passive_16.jpg
7,fake,1,A,43,18,18.0043731780024,2,1.99771557800705,Agent,1,passive,Kyle Square is being balanced by Zach Star.,Zach,Star,Kyle,Square,Base_passive_43.jpg,Agent_passive_43.jpg
8,fake,1,A,8,20,20.0026089210296,2,2.00083574699238,Agent,1,passive,Zach Star is being rolled by Kyle Square.,Kyle,Square,Zach,Star,Base_passive_8.jpg,Agent_passive_8.jpg
9,fake,1,A,54,22,22.003924256016,2,1.9985012189718,Agent,1,passive,Zach Star is being rolled by Melissa Oval.,Melissa,Oval,Zach,Star,Base_passive_54.jpg,Agent_passive_54.jpg
10,fake,1,A,13,24,24.0029212899972,2,1.99948461097665,Patient,0,active,Kyle Square is balancing Lily Triangle.,Kyle,Square,Lily,Triangle,Base_active_13.jpg,Patient_active_13.jpg
,fake,1,A,NA,26,26.0029101489927,4,3.99915509100538,0,NA,,NA,NA,NA,NA,NA,,
11,fake,1,A,2,30,30.0026786369854,2,1.99980235600378,Agent,0,active,Kyle Square is stopping Zach Star.,Kyle,Square,Zach,Star,Base_active_2.jpg,Agent_active_2.jpg
12,fake,1,A,9,32,32.0029537099763,2,1.99897076404886,Agent,0,active,Kyle Square is rolling Melissa Oval.,Kyle,Square,Melissa,Oval,Base_active_9.jpg,Agent_active_9.jpg
13,fake,1,A,19,34,34.0024683839874,2,2.0006851030048,Patient,0,active,Lily Triangle is bouncing Kyle Square.,Lily,Triangle,Kyle,Square,Base_active_19.jpg,Patient_active_19.jpg
,fake,1,A,NA,36,36.0038296789862,2,1.99813428800553,0,NA,,NA,NA,NA,NA,NA,,
14,fake,1,A,58,38,38.0027178819873,2,1.99933010502718,Agent,1,passive,Kyle Square is being balanced by Melissa Oval.,Melissa,Oval,Kyle,Square,Base_passive_58.jpg,Agent_passive_58.jpg
,fake,1,A,NA,40,40.002587452007,2,1.99911312601762,0,NA,,NA,NA,NA,NA,NA,,
