Trial,SubjID,Run,Order,ItemNumber,IntendedOnset,ActualOnset,IntendedDuration,ActualDuration,Condition,Flip,FlipMeaning,Sentence,AgentName,AgentShape,PatientName,PatientShape,BaseFilename,BlinkFilename,Response,Correct
1,sentencecheck,,C,26,0,0.000597061996813864,4,4.00038578102249,Agent,0,active,Lily Triangle is shaking Zach Star.,Lily,Triangle,Zach,Star,Base_active_26.jpg,Agent_active_26.jpg,,
2,sentencecheck,,C,34,4,4.00159405299928,4,3.99989095699857,Agent,0,active,Zach Star is bouncing Kyle Square.,Zach,Star,Kyle,Square,Base_active_34.jpg,Agent_active_34.jpg,,
,sentencecheck,,C,NA,8,8.00217869199696,8,8.00062038100441,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
3,sentencecheck,,C,20,16,16.0033690230048,4,3.99718658000347,Patient,0,active,Lily Triangle is bouncing Zach Star.,Lily,Triangle,Zach,Star,Base_active_20.jpg,Patient_active_20.jpg,,
4,sentencecheck,,C,38,20,20.0011472940096,4,4.00018476799596,Agent,1,passive,Lily Triangle is being rolled by Zach Star.,Zach,Star,Lily,Triangle,Base_passive_38.jpg,Agent_passive_38.jpg,,
,sentencecheck,,C,NA,24,24.0019521570066,2,2.00059165401035,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
5,sentencecheck,,C,20,26,26.0030300850049,4,3.9981084119936,Agent,0,active,Lily Triangle is bouncing Zach Star.,Lily,Triangle,Zach,Star,Base_active_20.jpg,Agent_active_20.jpg,,
,sentencecheck,,C,NA,30,30.0016304610181,4,4.0008593229868,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
6,sentencecheck,,C,41,34,34.0029760379985,4,3.99755416801781,Patient,0,active,Zach Star is shaking Lily Triangle.,Zach,Star,Lily,Triangle,Base_active_41.jpg,Patient_active_41.jpg,,
7,sentencecheck,,C,22,38,38.0010334720137,4,3.99976739898557,Agent,0,active,Lily Triangle is rolling Kyle Square.,Lily,Triangle,Kyle,Square,Base_active_22.jpg,Agent_active_22.jpg,,
8,sentencecheck,,C,37,42,42.0013774840045,4,3.99913075100631,Agent,1,passive,Kyle Square is being rolled by Zach Star.,Zach,Star,Kyle,Square,Base_passive_37.jpg,Agent_passive_37.jpg,,
9,sentencecheck,,C,23,46,46.0010763739992,4,4.00039579599979,Patient,0,active,Lily Triangle is rolling Zach Star.,Lily,Triangle,Zach,Star,Base_active_23.jpg,Patient_active_23.jpg,,
10,sentencecheck,,C,22,50,50.0020324910001,4,3.9993943820009,Patient,1,passive,Kyle Square is being rolled by Lily Triangle.,Lily,Triangle,Kyle,Square,Base_passive_22.jpg,Patient_passive_22.jpg,,
,sentencecheck,,C,NA,54,54.0020194670069,4,4.00081176200183,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
11,sentencecheck,,C,10,58,58.0033506710024,10,9.99751098401612,Patient,0,active,Kyle Square is shaking Lily Triangle.,Kyle,Square,Lily,Triangle,Base_active_10.jpg,Patient_active_10.jpg,Y,N
12,sentencecheck,,C,38,68,68.0012530770036,4,3.99995208100881,Patient,0,active,Zach Star is rolling Lily Triangle.,Zach,Star,Lily,Triangle,Base_active_38.jpg,Patient_active_38.jpg,,
,sentencecheck,,C,NA,72,72.0015988459927,6,6.00083795600221,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
13,sentencecheck,,C,40,78,78.0028587510169,4,3.99839244299801,Agent,1,passive,Kyle Square is being shaken by Zach Star.,Zach,Star,Kyle,Square,Base_passive_40.jpg,Agent_passive_40.jpg,,
,sentencecheck,,C,NA,82,82.0017996620154,6,5.99997468400397,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
14,sentencecheck,,C,41,88,88.0021620340121,4,3.99867095900117,Patient,1,passive,Lily Triangle is being shaken by Zach Star.,Zach,Star,Lily,Triangle,Base_passive_41.jpg,Patient_passive_41.jpg,,
,sentencecheck,,C,NA,92,92.0013532979938,6,6.00160975000472,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
15,sentencecheck,,C,35,98,98.0034029130184,4,3.99825240799692,Patient,0,active,Zach Star is bouncing Lily Triangle.,Zach,Star,Lily,Triangle,Base_active_35.jpg,Patient_active_35.jpg,,
,sentencecheck,,C,NA,102,102.002459773008,4,4.00024363701232,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
16,sentencecheck,,C,22,106,106.003138046013,4,3.99773623500369,Agent,1,passive,Kyle Square is being rolled by Lily Triangle.,Lily,Triangle,Kyle,Square,Base_passive_22.jpg,Agent_passive_22.jpg,,
17,sentencecheck,,C,20,110,110.00127016101,4,3.99925969299511,Agent,1,passive,Zach Star is being bounced by Lily Triangle.,Lily,Triangle,Zach,Star,Base_passive_20.jpg,Agent_passive_20.jpg,,
,sentencecheck,,C,NA,114,114.000917989004,2,2.00095963900094,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
18,sentencecheck,,C,37,116,116.00228681101,10,9.99906868100516,Patient,0,active,Zach Star is rolling Kyle Square.,Zach,Star,Kyle,Square,Base_active_37.jpg,Patient_active_37.jpg,,N
19,sentencecheck,,C,11,126,126.001746202994,4,3.99945758702233,Agent,1,passive,Zach Star is being shaken by Kyle Square.,Kyle,Square,Zach,Star,Base_passive_11.jpg,Agent_passive_11.jpg,,
,sentencecheck,,C,NA,130,130.001571747009,2,2.00020675599808,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
20,sentencecheck,,C,4,132,132.002153898007,4,3.99873125099111,Patient,1,passive,Lily Triangle is being bounced by Kyle Square.,Kyle,Square,Lily,Triangle,Base_passive_4.jpg,Patient_passive_4.jpg,,
