Trial,SubjID,Run,Order,ItemNumber,IntendedOnset,ActualOnset,IntendedDuration,ActualDuration,Condition,Flip,FlipMeaning,Sentence,AgentName,AgentShape,PatientName,PatientShape,BaseFilename,BlinkFilename,Response,Correct
1,debug,,D,26,0,0.000652205000733375,0.2,0.200981369000147,Patient,1,flipped,Zach Star is being shaken by Lily Triangle.,Lily,Triangle,Zach,Star,Base_flipped_26.jpg,Patient_flipped_26.jpg,,N
,debug,,D,NA,0.2,0.202276988000449,0.12,0.119791995000924,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
2,debug,,D,5,0.32,0.322390901001199,0.08,0.114679886999511,Agent,0,orig,Kyle Square is bouncing Zach Star.,Kyle,Square,Zach,Star,Base_orig_5.jpg,Agent_orig_5.jpg,,
3,debug,,D,19,0.4,0.437676948000444,0.08,0.0821326580007735,Patient,1,flipped,Kyle Square is being bounced by Lily Triangle.,Lily,Triangle,Kyle,Square,Base_flipped_19.jpg,Patient_flipped_19.jpg,,
,debug,,D,NA,0.48,0.520474261000345,0.04,0.0159192419996543,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
4,debug,,D,4,0.52,0.537000669000918,0.08,0.100527833999877,Agent,0,orig,Kyle Square is bouncing Lily Triangle.,Kyle,Square,Lily,Triangle,Base_orig_4.jpg,Agent_orig_4.jpg,,
,debug,,D,NA,0.6,0.638198504000684,0.08,0.0434780060004414,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
5,debug,,D,10,0.68,0.682003604000784,0.08,0.121777413000018,Agent,0,orig,Kyle Square is shaking Lily Triangle.,Kyle,Square,Lily,Triangle,Base_orig_10.jpg,Agent_orig_10.jpg,,
,debug,,D,NA,0.76,0.804443089000415,0.04,0.0162613949996739,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
6,debug,,D,19,0.8,0.821323617999951,0.08,0.0824358070003655,Agent,0,orig,Lily Triangle is bouncing Kyle Square.,Lily,Triangle,Kyle,Square,Base_orig_19.jpg,Agent_orig_19.jpg,,
,debug,,D,NA,0.88,0.904456650001521,0.04,0.0180001179996907,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
7,debug,,D,23,0.92,0.922939359001248,0.08,0.114172686999154,Patient,0,orig,Lily Triangle is rolling Zach Star.,Lily,Triangle,Zach,Star,Base_orig_23.jpg,Patient_orig_23.jpg,,
,debug,,D,NA,1,1.03779210600078,0.08,0.0436584429990035,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
8,debug,,D,19,1.08,1.08177735100071,0.08,0.105488672999854,Patient,0,orig,Lily Triangle is bouncing Kyle Square.,Lily,Triangle,Kyle,Square,Base_orig_19.jpg,Patient_orig_19.jpg,,
9,debug,,D,8,1.16,1.18795572700037,0.08,0.0825932549996651,Agent,0,orig,Kyle Square is rolling Zach Star.,Kyle,Square,Zach,Star,Base_orig_8.jpg,Agent_orig_8.jpg,,
10,debug,,D,41,1.24,1.2712331390012,0.08,0.0819222949994582,Patient,1,flipped,Lily Triangle is being shaken by Zach Star.,Zach,Star,Lily,Triangle,Base_flipped_41.jpg,Patient_flipped_41.jpg,,
11,debug,,D,4,1.32,1.35385293900072,0.08,0.0834553500008042,Agent,1,flipped,Lily Triangle is being bounced by Kyle Square.,Kyle,Square,Lily,Triangle,Base_flipped_4.jpg,Agent_flipped_4.jpg,,
,debug,,D,NA,1.4,1.43797876500139,0.24,0.204368984999746,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
12,debug,,D,40,1.64,1.64267271000062,0.08,0.0940447510001832,Patient,0,orig,Zach Star is shaking Kyle Square.,Zach,Star,Kyle,Square,Base_orig_40.jpg,Patient_orig_40.jpg,,
13,debug,,D,4,1.72,1.73740188000011,0.08,0.0831636330003676,Patient,0,orig,Kyle Square is bouncing Lily Triangle.,Kyle,Square,Lily,Triangle,Base_orig_4.jpg,Patient_orig_4.jpg,,
,debug,,D,NA,1.8,1.82125465600075,0.08,0.0606677489995491,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
14,debug,,D,10,1.88,1.88224256000103,0.08,0.121697394999501,Agent,1,flipped,Lily Triangle is being shaken by Kyle Square.,Kyle,Square,Lily,Triangle,Base_flipped_10.jpg,Agent_flipped_10.jpg,,
15,debug,,D,22,1.96,2.00461609600097,0.08,0.0485208819991385,Agent,1,flipped,Kyle Square is being rolled by Lily Triangle.,Lily,Triangle,Kyle,Square,Base_flipped_22.jpg,Agent_flipped_22.jpg,,
16,debug,,D,23,2.04,2.05383602500115,0.08,0.100380615998802,Agent,1,flipped,Zach Star is being rolled by Lily Triangle.,Lily,Triangle,Zach,Star,Base_flipped_23.jpg,Agent_flipped_23.jpg,,
,debug,,D,NA,2.12,2.15472910900098,0.16,0.126925655000377,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
17,debug,,D,25,2.28,2.2819744540011,0.08,0.122124870000334,Patient,0,orig,Lily Triangle is shaking Kyle Square.,Lily,Triangle,Kyle,Square,Base_orig_25.jpg,Patient_orig_25.jpg,,
,debug,,D,NA,2.36,2.40471962800075,0.08,0.0372392240005865,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
18,debug,,D,34,2.44,2.44228801700046,0.08,0.0952859410008386,Agent,1,flipped,Kyle Square is being bounced by Zach Star.,Zach,Star,Kyle,Square,Base_flipped_34.jpg,Agent_flipped_34.jpg,,
,debug,,D,NA,2.52,2.53817772500042,0.04,0.0248289810006099,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
19,debug,,D,10,2.56,2.56342947899975,0.08,0.0906453620009415,Patient,1,flipped,Lily Triangle is being shaken by Kyle Square.,Kyle,Square,Lily,Triangle,Base_flipped_10.jpg,Patient_flipped_10.jpg,,
20,debug,,D,10,2.64,2.65465430900076,0.08,0.0821158409999043,Patient,0,orig,Kyle Square is shaking Lily Triangle.,Kyle,Square,Lily,Triangle,Base_orig_10.jpg,Patient_orig_10.jpg,,
21,debug,,D,20,2.72,2.73736393699983,0.08,0.0817950680011563,Patient,1,flipped,Zach Star is being bounced by Lily Triangle.,Lily,Triangle,Zach,Star,Base_flipped_20.jpg,Patient_flipped_20.jpg,,
,debug,,D,NA,2.8,2.81975915300063,0.04,0.0228082279991213,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
22,debug,,D,22,2.84,2.84304096000051,0.08,0.111077519000901,Patient,0,orig,Lily Triangle is rolling Kyle Square.,Lily,Triangle,Kyle,Square,Base_orig_22.jpg,Patient_orig_22.jpg,,
,debug,,D,NA,2.92,2.95471092300068,0.04,0.0148156329996709,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
23,debug,,D,8,2.96,2.97012369000004,0.08,0.0834426680012257,Patient,1,flipped,Zach Star is being rolled by Kyle Square.,Kyle,Square,Zach,Star,Base_flipped_8.jpg,Patient_flipped_8.jpg,,
,debug,,D,NA,3.04,3.05416121400049,0.16,0.147863189000418,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
24,debug,,D,41,3.2,3.20234827200147,0.08,0.117809280998699,Patient,0,orig,Zach Star is shaking Lily Triangle.,Zach,Star,Lily,Triangle,Base_orig_41.jpg,Patient_orig_41.jpg,,
25,debug,,D,34,3.28,3.3207513640009,0.08,0.0834740850004891,Patient,0,orig,Zach Star is bouncing Kyle Square.,Zach,Star,Kyle,Square,Base_orig_34.jpg,Patient_orig_34.jpg,,
26,debug,,D,7,3.36,3.40481542000089,0.08,0.0486587209998106,Patient,1,flipped,Lily Triangle is being rolled by Kyle Square.,Kyle,Square,Lily,Triangle,Base_flipped_7.jpg,Patient_flipped_7.jpg,,
27,debug,,D,35,3.44,3.45407148100094,0.08,0.0828701529990212,Agent,1,flipped,Lily Triangle is being bounced by Zach Star.,Zach,Star,Lily,Triangle,Base_flipped_35.jpg,Agent_flipped_35.jpg,,
28,debug,,D,38,3.52,3.53755009500128,0.08,0.0833958909988723,Agent,0,orig,Zach Star is rolling Lily Triangle.,Zach,Star,Lily,Triangle,Base_orig_38.jpg,Agent_orig_38.jpg,,
,debug,,D,NA,3.6,3.62155039699974,0.12,0.100774701000773,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
29,debug,,D,23,3.72,3.72264780800106,0.08,0.114306219000355,Agent,0,orig,Lily Triangle is rolling Zach Star.,Lily,Triangle,Zach,Star,Base_orig_23.jpg,Agent_orig_23.jpg,,
30,debug,,D,40,3.8,3.83754518700152,0.08,0.0845705449992238,Patient,1,flipped,Kyle Square is being shaken by Zach Star.,Zach,Star,Kyle,Square,Base_flipped_40.jpg,Patient_flipped_40.jpg,,
,debug,,D,NA,3.88,3.9225781260011,0.08,0.0393633149997186,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
31,debug,,D,7,3.96,3.96227673900103,0.08,0.0923017450004409,Agent,0,orig,Kyle Square is rolling Lily Triangle.,Kyle,Square,Lily,Triangle,Base_orig_7.jpg,Agent_orig_7.jpg,,
,debug,,D,NA,4.04,4.05517534300088,0.04,0.0275876939995214,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
32,debug,,D,5,4.08,4.08311761799996,0.08,0.0865412849998393,Agent,1,flipped,Zach Star is being bounced by Kyle Square.,Kyle,Square,Zach,Star,Base_flipped_5.jpg,Agent_flipped_5.jpg,,
33,debug,,D,22,4.16,4.17012303000047,0.08,0.0836862010000914,Agent,0,orig,Lily Triangle is rolling Kyle Square.,Lily,Triangle,Kyle,Square,Base_orig_22.jpg,Agent_orig_22.jpg,,
,debug,,D,NA,4.24,4.25441569600116,0.12,0.107950579000317,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
34,debug,,D,25,4.36,4.36279274000117,0.08,0.107871530999546,Patient,1,flipped,Kyle Square is being shaken by Lily Triangle.,Lily,Triangle,Kyle,Square,Base_flipped_25.jpg,Patient_flipped_25.jpg,,
,debug,,D,NA,4.44,4.47126039900104,0.12,0.091105694998987,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
35,debug,,D,20,4.56,4.56269019400133,0.2,0.198783099998764,Patient,0,orig,Lily Triangle is bouncing Zach Star.,Lily,Triangle,Zach,Star,Base_orig_20.jpg,Patient_orig_20.jpg,,N
36,debug,,D,8,4.76,4.76181160700071,0.08,0.0912707869993028,Patient,0,orig,Kyle Square is rolling Zach Star.,Kyle,Square,Zach,Star,Base_orig_8.jpg,Patient_orig_8.jpg,,
37,debug,,D,5,4.84,4.8536702270012,0.08,0.0842738649989769,Patient,1,flipped,Zach Star is being bounced by Kyle Square.,Kyle,Square,Zach,Star,Base_flipped_5.jpg,Patient_flipped_5.jpg,,
38,debug,,D,7,4.92,4.93854138000097,0.08,0.0828388509999058,Agent,1,flipped,Lily Triangle is being rolled by Kyle Square.,Kyle,Square,Lily,Triangle,Base_flipped_7.jpg,Agent_flipped_7.jpg,,
,debug,,D,NA,5,5.0219828270001,0.08,0.0595091470004263,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
39,debug,,D,19,5.08,5.08182074700017,0.08,0.122108551000565,Agent,1,flipped,Kyle Square is being bounced by Lily Triangle.,Lily,Triangle,Kyle,Square,Base_flipped_19.jpg,Agent_flipped_19.jpg,,
,debug,,D,NA,5.16,5.20452866500091,0.04,0.0191321610000159,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
