Trial,SubjID,Run,Order,ItemNumber,IntendedOnset,ActualOnset,IntendedDuration,ActualDuration,Condition,Flip,FlipMeaning,Sentence,AgentName,AgentShape,PatientName,PatientShape,BaseFilename,BlinkFilename,Response,Correct
1,sentencecheck,,D,26,0,0.002607425005408,10,9.99901477099047,Patient,1,passive,Zach Star is being shaken by Lily Triangle.,Lily,Triangle,Zach,Star,Base_passive_26.jpg,Patient_passive_26.jpg,Y,N
,sentencecheck,,D,NA,10,10.0033711279975,6,6.00093763001496,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
2,sentencecheck,,D,5,16,16.0052342760027,4,3.99572553401231,Agent,0,active,Kyle Square is bouncing Zach Star.,Kyle,Square,Zach,Star,Base_active_5.jpg,Agent_active_5.jpg,,
3,sentencecheck,,D,19,20,20.0015354189964,4,3.99896418402204,Patient,1,passive,Kyle Square is being bounced by Lily Triangle.,Lily,Triangle,Kyle,Square,Base_passive_19.jpg,Patient_passive_19.jpg,,
,sentencecheck,,D,NA,24,24.0009477199928,2,2.00242401802097,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
4,sentencecheck,,D,4,26,26.0040330880147,4,3.9972041650035,Agent,0,active,Kyle Square is bouncing Lily Triangle.,Kyle,Square,Lily,Triangle,Base_active_4.jpg,Agent_active_4.jpg,,
,sentencecheck,,D,NA,30,30.0016828830121,4,4.00112383600208,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
5,sentencecheck,,D,10,34,34.0032918130164,4,3.9976032699924,Agent,0,active,Kyle Square is shaking Lily Triangle.,Kyle,Square,Lily,Triangle,Base_active_10.jpg,Agent_active_10.jpg,,
,sentencecheck,,D,NA,38,38.0013664560101,2,2.00188382499618,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
6,sentencecheck,,D,19,40,40.0039608349907,4,3.99665457801893,Agent,0,active,Lily Triangle is bouncing Kyle Square.,Lily,Triangle,Kyle,Square,Base_active_19.jpg,Agent_active_19.jpg,,
,sentencecheck,,D,NA,44,44.0010568599973,2,2.00132412600215,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
7,sentencecheck,,D,23,46,46.0028272969939,4,3.99790605800808,Patient,0,active,Lily Triangle is rolling Zach Star.,Lily,Triangle,Zach,Star,Base_active_23.jpg,Patient_active_23.jpg,,
,sentencecheck,,D,NA,50,50.0012253450113,4,4.00128274399322,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
8,sentencecheck,,D,19,54,54.003057644004,4,3.99791123199975,Patient,0,active,Lily Triangle is bouncing Kyle Square.,Lily,Triangle,Kyle,Square,Base_active_19.jpg,Patient_active_19.jpg,,
9,sentencecheck,,D,8,58,58.0014283859928,4,3.99901868501911,Agent,0,active,Kyle Square is rolling Zach Star.,Kyle,Square,Zach,Star,Base_active_8.jpg,Agent_active_8.jpg,,
10,sentencecheck,,D,41,62,62.0008938270039,4,3.99990595900454,Patient,1,passive,Lily Triangle is being shaken by Zach Star.,Zach,Star,Lily,Triangle,Base_passive_41.jpg,Patient_passive_41.jpg,,
11,sentencecheck,,D,4,66,66.0012671590084,4,3.99983303601039,Agent,1,passive,Lily Triangle is being bounced by Kyle Square.,Kyle,Square,Lily,Triangle,Base_passive_4.jpg,Agent_passive_4.jpg,,
,sentencecheck,,D,NA,70,70.0016997210041,12,12.000929220987,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
12,sentencecheck,,D,40,82,82.0032271340024,4,3.99824754701694,Patient,0,active,Zach Star is shaking Kyle Square.,Zach,Star,Kyle,Square,Base_active_40.jpg,Patient_active_40.jpg,,
13,sentencecheck,,D,4,86,86.0019432739937,4,3.99898999201832,Patient,0,active,Kyle Square is bouncing Lily Triangle.,Kyle,Square,Lily,Triangle,Base_active_4.jpg,Patient_active_4.jpg,,
,sentencecheck,,D,NA,90,90.0014091000194,4,4.00086774298688,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
14,sentencecheck,,D,10,94,94.0027775920171,4,3.99967160698725,Agent,1,passive,Lily Triangle is being shaken by Kyle Square.,Kyle,Square,Lily,Triangle,Base_passive_10.jpg,Agent_passive_10.jpg,,
15,sentencecheck,,D,22,98,98.0030786640127,4,3.9979335120006,Agent,1,passive,Kyle Square is being rolled by Lily Triangle.,Lily,Triangle,Kyle,Square,Base_passive_22.jpg,Agent_passive_22.jpg,,
16,sentencecheck,,D,23,102,102.001539399993,4,3.99962581202271,Agent,1,passive,Zach Star is being rolled by Lily Triangle.,Lily,Triangle,Zach,Star,Base_passive_23.jpg,Agent_passive_23.jpg,,
,sentencecheck,,D,NA,106,106.002038541017,8,8.00189467097516,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
17,sentencecheck,,D,25,114,114.004531308019,4,3.99618973198812,Patient,0,active,Lily Triangle is shaking Kyle Square.,Lily,Triangle,Kyle,Square,Base_active_25.jpg,Patient_active_25.jpg,,
,sentencecheck,,D,NA,118,118.001482894004,4,4.00149054199574,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
18,sentencecheck,,D,34,122,122.003550733993,4,3.99740563202067,Agent,1,passive,Kyle Square is being bounced by Zach Star.,Zach,Star,Kyle,Square,Base_passive_34.jpg,Agent_passive_34.jpg,,
,sentencecheck,,D,NA,126,126.001429497992,2,2.00095095901634,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
19,sentencecheck,,D,10,128,128.002979629004,4,3.99865739300731,Patient,1,passive,Lily Triangle is being shaken by Kyle Square.,Kyle,Square,Lily,Triangle,Base_passive_10.jpg,Patient_passive_10.jpg,,
20,sentencecheck,,D,10,132,132.002311367018,4,3.99907197398716,Patient,0,active,Kyle Square is shaking Lily Triangle.,Kyle,Square,Lily,Triangle,Base_active_10.jpg,Patient_active_10.jpg,,
21,sentencecheck,,D,20,136,136.001780348015,4,3.99922745599179,Patient,1,passive,Zach Star is being bounced by Lily Triangle.,Lily,Triangle,Zach,Star,Base_passive_20.jpg,Patient_passive_20.jpg,,
,sentencecheck,,D,NA,140,140.001759447012,2,2.00029638799606,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
22,sentencecheck,,D,22,142,142.002494336019,4,3.9984865479928,Patient,0,active,Lily Triangle is rolling Kyle Square.,Lily,Triangle,Kyle,Square,Base_active_22.jpg,Patient_active_22.jpg,,
,sentencecheck,,D,NA,146,146.001429863012,2,2.00034091499401,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
23,sentencecheck,,D,8,148,148.002156171016,4,3.99834535899572,Patient,1,passive,Zach Star is being rolled by Kyle Square.,Kyle,Square,Zach,Star,Base_passive_8.jpg,Patient_passive_8.jpg,,
,sentencecheck,,D,NA,152,152.000867690018,8,8.002302924986,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
24,sentencecheck,,D,41,160,160.003727495001,4,3.99804949900135,Patient,0,active,Zach Star is shaking Lily Triangle.,Zach,Star,Lily,Triangle,Base_active_41.jpg,Patient_active_41.jpg,,
25,sentencecheck,,D,34,164,164.002291943005,4,3.99908121000044,Patient,0,active,Zach Star is bouncing Kyle Square.,Zach,Star,Kyle,Square,Base_active_34.jpg,Patient_active_34.jpg,,
26,sentencecheck,,D,7,168,168.001762272994,4,3.99935186401126,Patient,1,passive,Lily Triangle is being rolled by Kyle Square.,Kyle,Square,Lily,Triangle,Base_passive_7.jpg,Patient_passive_7.jpg,,
27,sentencecheck,,D,35,172,172.001483068016,4,3.99948302897974,Agent,1,passive,Lily Triangle is being bounced by Zach Star.,Zach,Star,Lily,Triangle,Base_passive_35.jpg,Agent_passive_35.jpg,,
28,sentencecheck,,D,38,176,176.001393776998,4,3.99930372400559,Agent,0,active,Zach Star is rolling Lily Triangle.,Zach,Star,Lily,Triangle,Base_active_38.jpg,Agent_active_38.jpg,,
,sentencecheck,,D,NA,180,180.001041896991,6,6.0006822750147,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
29,sentencecheck,,D,23,186,186.002112738002,4,3.9987301749934,Agent,0,active,Lily Triangle is rolling Zach Star.,Lily,Triangle,Zach,Star,Base_active_23.jpg,Agent_active_23.jpg,,
30,sentencecheck,,D,40,190,190.001198846003,4,4.00010433001444,Patient,1,passive,Kyle Square is being shaken by Zach Star.,Zach,Star,Kyle,Square,Base_passive_40.jpg,Patient_passive_40.jpg,,
,sentencecheck,,D,NA,194,194.001807430992,4,4.00004765600897,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
31,sentencecheck,,D,7,198,198.002292818011,4,3.99901067998144,Agent,0,active,Kyle Square is rolling Lily Triangle.,Kyle,Square,Lily,Triangle,Base_active_7.jpg,Agent_active_7.jpg,,
,sentencecheck,,D,NA,202,202.001649854006,2,2.00085560898879,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
32,sentencecheck,,D,5,204,204.002887786017,4,3.99814653900103,Agent,1,passive,Zach Star is being bounced by Kyle Square.,Kyle,Square,Zach,Star,Base_passive_5.jpg,Agent_passive_5.jpg,,
33,sentencecheck,,D,22,208,208.001384583011,4,3.99929216099554,Agent,0,active,Lily Triangle is rolling Kyle Square.,Lily,Triangle,Kyle,Square,Base_active_22.jpg,Agent_active_22.jpg,,
,sentencecheck,,D,NA,212,212.001023810008,6,6.00211804101127,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
34,sentencecheck,,D,25,218,218.003627608996,4,3.99765741801821,Patient,1,passive,Kyle Square is being shaken by Lily Triangle.,Lily,Triangle,Kyle,Square,Base_passive_25.jpg,Patient_passive_25.jpg,,
,sentencecheck,,D,NA,222,222.001633998996,6,6.00161124599981,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
35,sentencecheck,,D,20,228,228.003652526997,10,9.99733115601703,Patient,0,active,Lily Triangle is bouncing Zach Star.,Lily,Triangle,Zach,Star,Base_active_20.jpg,Patient_active_20.jpg,,N
36,sentencecheck,,D,8,238,238.001405784016,4,3.99914630898274,Patient,0,active,Kyle Square is rolling Zach Star.,Kyle,Square,Zach,Star,Base_active_8.jpg,Patient_active_8.jpg,,
37,sentencecheck,,D,5,242,242.000901947002,4,3.9996924700099,Patient,1,passive,Zach Star is being bounced by Kyle Square.,Kyle,Square,Zach,Star,Base_passive_5.jpg,Patient_passive_5.jpg,,
38,sentencecheck,,D,7,246,246.000943480991,4,4.00029104101122,Agent,1,passive,Lily Triangle is being rolled by Kyle Square.,Kyle,Square,Lily,Triangle,Base_passive_7.jpg,Agent_passive_7.jpg,,
,sentencecheck,,D,NA,250,250.001580593991,4,4.00178129301639,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
39,sentencecheck,,D,19,254,254.003855709016,4,3.99737516598543,Agent,1,passive,Kyle Square is being bounced by Lily Triangle.,Lily,Triangle,Kyle,Square,Base_passive_19.jpg,Agent_passive_19.jpg,,
,sentencecheck,,D,NA,258,258.001596073998,2,2.00041024800157,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
