Trial,SubjID,Run,Order,ItemNumber,IntendedOnset,ActualOnset,IntendedDuration,ActualDuration,Condition,Flip,FlipMeaning,Sentence,AgentName,AgentShape,PatientName,PatientShape,BaseFilename,BlinkFilename,Response,Correct
1,fakefakefkafe,,D,26,0,0.000825886992970482,10,10.0005416049971,Patient,1,passive,Zach Star is being shaken by Lily Triangle.,Lily,Triangle,Zach,Star,Base_passive_26.jpg,Patient_passive_26.jpg,,
,fakefakefkafe,,D,NA,10,10.0021972329996,6,5.99979763998999,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
2,fakefakefkafe,,D,5,16,16.0026904559927,4,3.99874537999858,Agent,0,active,Kyle Square is bouncing Zach Star.,Kyle,Square,Zach,Star,Base_active_5.jpg,Agent_active_5.jpg,,
3,fakefakefkafe,,D,19,20,20.0023314049904,4,3.99864507900202,Patient,1,passive,Kyle Square is being bounced by Lily Triangle.,Lily,Triangle,Kyle,Square,Base_passive_19.jpg,Patient_passive_19.jpg,,
,fakefakefkafe,,D,NA,24,24.001639131995,2,2.00094450599863,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
4,fakefakefkafe,,D,4,26,26.0031593780004,4,3.99812408999423,Agent,0,active,Kyle Square is bouncing Lily Triangle.,Kyle,Square,Lily,Triangle,Base_active_4.jpg,Agent_active_4.jpg,,
,fakefakefkafe,,D,NA,30,30.0018590589898,4,4.0008627710049,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
5,fakefakefkafe,,D,10,34,34.0032580249972,4,3.99743238699739,Agent,0,active,Kyle Square is shaking Lily Triangle.,Kyle,Square,Lily,Triangle,Base_active_10.jpg,Agent_active_10.jpg,,
,fakefakefkafe,,D,NA,38,38.0012421919964,2,2.00113643299846,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
6,fakefakefkafe,,D,19,40,40.0029191770009,4,3.99782158399466,Agent,0,active,Lily Triangle is bouncing Kyle Square.,Lily,Triangle,Kyle,Square,Base_active_19.jpg,Agent_active_19.jpg,,
