Trial,SubjID,Run,Order,ItemNumber,IntendedOnset,ActualOnset,IntendedDuration,ActualDuration,Condition,Flip,FlipMeaning,Sentence,AgentName,AgentShape,PatientName,PatientShape,BaseFilename,BlinkFilename,Response,Correct
22,FED_20170823a_3T2,,A,11,130,130.002827412973,4,3.99862796399975,Patient,1,passive,Zach Star is being shaken by Kyle Square.,Kyle,Square,Zach,Star,Base_passive_11.jpg,Patient_passive_11.jpg,,
,FED_20170823a_3T2,,A,NA,134,134.002070516988,2,2.00117376298294,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
23,FED_20170823a_3T2,,A,38,136,136.003887593979,4,3.99758253499749,Agent,1,passive,Lily Triangle is being rolled by Zach Star.,Zach,Star,Lily,Triangle,Base_passive_38.jpg,Agent_passive_38.jpg,,
,FED_20170823a_3T2,,A,NA,140,140.002337372978,2,2.00092386599863,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
24,FED_20170823a_3T2,,A,26,142,142.003903721983,4,3.99659757301561,Patient,0,active,Lily Triangle is shaking Zach Star.,Lily,Triangle,Zach,Star,Base_active_26.jpg,Patient_active_26.jpg,,
,FED_20170823a_3T2,,A,NA,146,146.001116826985,6,6.00196054100525,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
25,FED_20170823a_3T2,,A,20,152,152.003838429984,10,9.99773742401158,Agent,1,passive,Zach Star is being bounced by Lily Triangle.,Lily,Triangle,Zach,Star,Base_passive_20.jpg,Agent_passive_20.jpg,,N
,FED_20170823a_3T2,,A,NA,162,162.002211036975,2,1.99947897900711,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
26,FED_20170823a_3T2,,A,20,164,164.002327963972,4,3.99963220302016,Agent,0,active,Lily Triangle is bouncing Zach Star.,Lily,Triangle,Zach,Star,Base_active_20.jpg,Agent_active_20.jpg,,
27,FED_20170823a_3T2,,A,5,168,168.002684752981,4,3.9977014370088,Agent,1,passive,Zach Star is being bounced by Kyle Square.,Kyle,Square,Zach,Star,Base_passive_5.jpg,Agent_passive_5.jpg,,
28,FED_20170823a_3T2,,A,20,172,172.001022051991,4,3.99993900000118,Patient,1,passive,Zach Star is being bounced by Lily Triangle.,Lily,Triangle,Zach,Star,Base_passive_20.jpg,Patient_passive_20.jpg,,
29,FED_20170823a_3T2,,A,38,176,176.001582934987,4,4.00008230798994,Agent,0,active,Zach Star is rolling Lily Triangle.,Zach,Star,Lily,Triangle,Base_active_38.jpg,Agent_active_38.jpg,,
30,FED_20170823a_3T2,,A,35,180,180.002287611976,4,3.99848863799707,Patient,0,active,Zach Star is bouncing Lily Triangle.,Zach,Star,Lily,Triangle,Base_active_35.jpg,Patient_active_35.jpg,,
,FED_20170823a_3T2,,A,NA,184,184.001401952992,6,6.0030226399831,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
31,FED_20170823a_3T2,,A,40,190,190.00528610099,4,3.99567354598548,Patient,1,passive,Kyle Square is being shaken by Zach Star.,Zach,Star,Kyle,Square,Base_passive_40.jpg,Patient_passive_40.jpg,,
,FED_20170823a_3T2,,A,NA,194,194.001583760983,6,6.0014624989999,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
32,FED_20170823a_3T2,,A,23,200,200.00368332598,4,3.99794098999701,Patient,1,passive,Zach Star is being rolled by Lily Triangle.,Lily,Triangle,Zach,Star,Base_passive_23.jpg,Patient_passive_23.jpg,,
,FED_20170823a_3T2,,A,NA,204,204.002258364984,2,2.00051400400116,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
33,FED_20170823a_3T2,,A,22,206,206.003394898988,10,9.99796327299555,Patient,1,passive,Kyle Square is being rolled by Lily Triangle.,Lily,Triangle,Kyle,Square,Base_passive_22.jpg,Patient_passive_22.jpg,,N
,FED_20170823a_3T2,,A,NA,216,216.002027308976,2,2.00068422799814,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
34,FED_20170823a_3T2,,A,7,218,218.003326343984,4,3.99775592499645,Patient,0,active,Kyle Square is rolling Lily Triangle.,Kyle,Square,Lily,Triangle,Base_active_7.jpg,Patient_active_7.jpg,,
,FED_20170823a_3T2,,A,NA,222,222.001712225989,2,2.00092685999698,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
35,FED_20170823a_3T2,,A,19,224,224.003271647991,4,3.9979817919957,Patient,1,passive,Kyle Square is being bounced by Lily Triangle.,Lily,Triangle,Kyle,Square,Base_passive_19.jpg,Patient_passive_19.jpg,,
36,FED_20170823a_3T2,,A,10,228,228.001885011996,4,3.99990075998357,Patient,1,passive,Lily Triangle is being shaken by Kyle Square.,Kyle,Square,Lily,Triangle,Base_passive_10.jpg,Patient_passive_10.jpg,,
,FED_20170823a_3T2,,A,NA,232,232.002400295984,4,4.00069895200431,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
37,FED_20170823a_3T2,,A,37,236,236.003715698986,4,3.99748004999128,Patient,1,passive,Kyle Square is being rolled by Zach Star.,Zach,Star,Kyle,Square,Base_passive_37.jpg,Patient_passive_37.jpg,,
,FED_20170823a_3T2,,A,NA,240,240.001811676979,2,1.99988561900682,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
38,FED_20170823a_3T2,,A,41,242,242.002315708,4,3.99878235798678,Agent,1,passive,Lily Triangle is being shaken by Zach Star.,Zach,Star,Lily,Triangle,Base_passive_41.jpg,Agent_passive_41.jpg,,
,FED_20170823a_3T2,,A,NA,246,246.001726163988,2,2.00075602298602,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
39,FED_20170823a_3T2,,A,4,248,248.003101320995,4,3.99836449499708,Patient,0,active,Kyle Square is bouncing Lily Triangle.,Kyle,Square,Lily,Triangle,Base_active_4.jpg,Patient_active_4.jpg,,
40,FED_20170823a_3T2,,A,19,252,252.002142411977,4,3.99856516701402,Patient,0,active,Lily Triangle is bouncing Kyle Square.,Lily,Triangle,Kyle,Square,Base_active_19.jpg,Patient_active_19.jpg,,
41,FED_20170823a_3T2,,A,37,256,256.001342927979,4,4.00070371601032,Agent,0,active,Zach Star is rolling Kyle Square.,Zach,Star,Kyle,Square,Base_active_37.jpg,Agent_active_37.jpg,,
,FED_20170823a_3T2,,A,NA,260,260.002959073987,4,3.99869577799109,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
42,FED_20170823a_3T2,,A,26,264,264.002284358983,4,3.99953927600291,Patient,1,passive,Zach Star is being shaken by Lily Triangle.,Lily,Triangle,Zach,Star,Base_passive_26.jpg,Patient_passive_26.jpg,,
