Trial,SubjID,Run,Order,ItemNumber,IntendedOnset,ActualOnset,IntendedDuration,ActualDuration,Condition,Flip,FlipMeaning,Sentence,AgentName,AgentShape,PatientName,PatientShape,BaseFilename,BlinkFilename,Response,Correct
1,FED_20170823a_3T2,,E,10,0,0.00212801399175078,10,10.0011600819998,Agent,1,passive,Lily Triangle is being shaken by Kyle Square.,Kyle,Square,Lily,Triangle,Base_passive_10.jpg,Agent_passive_10.jpg,,N
,FED_20170823a_3T2,,E,NA,10,10.0060017429932,2,2.00637776398798,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
2,FED_20170823a_3T2,,E,34,12,12.014926518983,4,3.98738909402164,Patient,1,passive,Kyle Square is being bounced by Zach Star.,Zach,Star,Kyle,Square,Base_passive_34.jpg,Patient_passive_34.jpg,,
,FED_20170823a_3T2,,E,NA,16,16.0049872329982,2,2.00709187798202,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
3,FED_20170823a_3T2,,E,22,18,18.0146151329973,4,3.98867687300663,Agent,0,active,Lily Triangle is rolling Kyle Square.,Lily,Triangle,Kyle,Square,Base_active_22.jpg,Agent_active_22.jpg,,
4,FED_20170823a_3T2,,E,37,22,22.006095625984,4,4.00086963799549,Patient,0,active,Zach Star is rolling Kyle Square.,Zach,Star,Kyle,Square,Base_active_37.jpg,Patient_active_37.jpg,,
5,FED_20170823a_3T2,,E,25,26,26.009566305991,4,3.99833494800259,Patient,0,active,Lily Triangle is shaking Kyle Square.,Lily,Triangle,Kyle,Square,Base_active_25.jpg,Patient_active_25.jpg,,
6,FED_20170823a_3T2,,E,7,30,30.010549359984,4,3.99103464800282,Agent,0,active,Kyle Square is rolling Lily Triangle.,Kyle,Square,Lily,Triangle,Base_active_7.jpg,Agent_active_7.jpg,,
7,FED_20170823a_3T2,,E,23,34,34.0042414609925,4,3.99881494199508,Agent,1,passive,Zach Star is being rolled by Lily Triangle.,Lily,Triangle,Zach,Star,Base_passive_23.jpg,Agent_passive_23.jpg,,
8,FED_20170823a_3T2,,E,11,38,38.0057711219997,4,3.99772175299586,Agent,1,passive,Zach Star is being shaken by Kyle Square.,Kyle,Square,Zach,Star,Base_passive_11.jpg,Agent_passive_11.jpg,,
,FED_20170823a_3T2,,E,NA,42,42.0062351829838,2,2.0066915829957,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
9,FED_20170823a_3T2,,E,22,44,44.0154773120012,4,3.99246459599817,Agent,1,passive,Kyle Square is being rolled by Lily Triangle.,Lily,Triangle,Kyle,Square,Base_passive_22.jpg,Agent_passive_22.jpg,,
,FED_20170823a_3T2,,E,NA,48,48.0105721319851,4,4.00001340001472,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
10,FED_20170823a_3T2,,E,34,52,52.0132118019974,4,3.99162019099458,Agent,1,passive,Kyle Square is being bounced by Zach Star.,Zach,Star,Kyle,Square,Base_passive_34.jpg,Agent_passive_34.jpg,,
11,FED_20170823a_3T2,,E,40,56,56.0076062399894,4,3.99882671498926,Patient,0,active,Zach Star is shaking Kyle Square.,Zach,Star,Kyle,Square,Base_active_40.jpg,Patient_active_40.jpg,,
,FED_20170823a_3T2,,E,NA,60,60.0091049459879,4,3.99941797900829,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
12,FED_20170823a_3T2,,E,11,64,64.0110551480029,4,3.9959627649805,Patient,1,passive,Zach Star is being shaken by Kyle Square.,Kyle,Square,Zach,Star,Base_passive_11.jpg,Patient_passive_11.jpg,,
13,FED_20170823a_3T2,,E,35,68,68.0097374439938,4,3.99149164400296,Agent,0,active,Zach Star is bouncing Lily Triangle.,Zach,Star,Lily,Triangle,Base_active_35.jpg,Agent_active_35.jpg,,
14,FED_20170823a_3T2,,E,7,72,72.004025140981,4,3.99794391501928,Agent,1,passive,Lily Triangle is being rolled by Kyle Square.,Kyle,Square,Lily,Triangle,Base_passive_7.jpg,Agent_passive_7.jpg,,
,FED_20170823a_3T2,,E,NA,76,76.004723252001,2,2.00343275198247,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
15,FED_20170823a_3T2,,E,11,78,78.0107576519949,4,3.9917807370075,Agent,0,active,Kyle Square is shaking Zach Star.,Kyle,Square,Zach,Star,Base_active_11.jpg,Agent_active_11.jpg,,
16,FED_20170823a_3T2,,E,25,82,82.0052239409997,4,3.99881931199343,Agent,1,passive,Kyle Square is being shaken by Lily Triangle.,Lily,Triangle,Kyle,Square,Base_passive_25.jpg,Agent_passive_25.jpg,,
17,FED_20170823a_3T2,,E,40,86,86.0067535129783,4,3.99527428500005,Agent,1,passive,Kyle Square is being shaken by Zach Star.,Zach,Star,Kyle,Square,Base_passive_40.jpg,Agent_passive_40.jpg,,
,FED_20170823a_3T2,,E,NA,90,90.0047839930048,2,2.00401515699923,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
18,FED_20170823a_3T2,,E,41,92,92.0113748690055,4,3.99482455599355,Agent,0,active,Zach Star is shaking Lily Triangle.,Zach,Star,Lily,Triangle,Base_active_41.jpg,Agent_active_41.jpg,,
19,FED_20170823a_3T2,,E,10,96,96.0089656539785,4,3.99924373201793,Patient,1,passive,Lily Triangle is being shaken by Kyle Square.,Kyle,Square,Lily,Triangle,Base_passive_10.jpg,Patient_passive_10.jpg,,
20,FED_20170823a_3T2,,E,26,100,100.010938197986,4,3.99637202001759,Agent,1,passive,Zach Star is being shaken by Lily Triangle.,Lily,Triangle,Zach,Star,Base_passive_26.jpg,Agent_passive_26.jpg,,
,FED_20170823a_3T2,,E,NA,104,104.010037331987,6,5.99919653701363,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
21,FED_20170823a_3T2,,E,37,110,110.011814219004,10,9.99569663297734,Agent,0,active,Zach Star is rolling Kyle Square.,Zach,Star,Kyle,Square,Base_active_37.jpg,Agent_active_37.jpg,,N
,FED_20170823a_3T2,,E,NA,120,120.010282953997,4,4.00014494400239,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
22,FED_20170823a_3T2,,E,8,124,124.012996634992,4,3.99404237500858,Patient,1,passive,Zach Star is being rolled by Kyle Square.,Kyle,Square,Zach,Star,Base_passive_8.jpg,Patient_passive_8.jpg,,
,FED_20170823a_3T2,,E,NA,128,128.009896915988,6,6.00114729799679,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
23,FED_20170823a_3T2,,E,5,134,134.013586925983,4,3.99227098902338,Agent,0,active,Kyle Square is bouncing Zach Star.,Kyle,Square,Zach,Star,Base_active_5.jpg,Agent_active_5.jpg,,
24,FED_20170823a_3T2,,E,10,138,138.008589934005,4,3.99394061998464,Agent,0,active,Kyle Square is shaking Lily Triangle.,Kyle,Square,Lily,Triangle,Base_active_10.jpg,Agent_active_10.jpg,,
,FED_20170823a_3T2,,E,NA,142,142.005248911999,6,6.00685379200149,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
25,FED_20170823a_3T2,,E,19,148,148.014676232997,10,9.99110943899723,Agent,0,active,Lily Triangle is bouncing Kyle Square.,Lily,Triangle,Kyle,Square,Base_active_19.jpg,Agent_active_19.jpg,,N
26,FED_20170823a_3T2,,E,25,158,158.008421851002,4,3.99756443398655,Agent,0,active,Lily Triangle is shaking Kyle Square.,Lily,Triangle,Kyle,Square,Base_active_25.jpg,Agent_active_25.jpg,,
27,FED_20170823a_3T2,,E,7,162,162.008651985991,10,9.99763936499949,Patient,1,passive,Lily Triangle is being rolled by Kyle Square.,Kyle,Square,Lily,Triangle,Base_passive_7.jpg,Patient_passive_7.jpg,,N
,FED_20170823a_3T2,,E,NA,172,172.009411581996,2,2.00362611399032,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
28,FED_20170823a_3T2,,E,22,174,174.015664762992,4,3.98834806898958,Patient,1,passive,Kyle Square is being rolled by Lily Triangle.,Lily,Triangle,Kyle,Square,Base_passive_22.jpg,Patient_passive_22.jpg,,
,FED_20170823a_3T2,,E,NA,178,178.006770545995,2,2.00028977400507,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
29,FED_20170823a_3T2,,E,25,180,180.009674120985,4,3.99240421201102,Patient,1,passive,Kyle Square is being shaken by Lily Triangle.,Lily,Triangle,Kyle,Square,Base_passive_25.jpg,Patient_passive_25.jpg,,
30,FED_20170823a_3T2,,E,5,184,184.004686701985,4,3.99966009901254,Agent,1,passive,Zach Star is being bounced by Kyle Square.,Kyle,Square,Zach,Star,Base_passive_5.jpg,Agent_passive_5.jpg,,
31,FED_20170823a_3T2,,E,5,188,188.00702296599,4,3.99931471698801,Patient,1,passive,Zach Star is being bounced by Kyle Square.,Kyle,Square,Zach,Star,Base_passive_5.jpg,Patient_passive_5.jpg,,
,FED_20170823a_3T2,,E,NA,192,192.009032656992,2,1.99961030398845,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
32,FED_20170823a_3T2,,E,38,194,194.011296373996,4,3.99445340398233,Agent,1,passive,Lily Triangle is being rolled by Zach Star.,Zach,Star,Lily,Triangle,Base_passive_38.jpg,Agent_passive_38.jpg,,
,FED_20170823a_3T2,,E,NA,198,198.008538127993,2,2.00141711698961,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
33,FED_20170823a_3T2,,E,4,200,200.012629315985,4,3.99017109401757,Agent,1,passive,Lily Triangle is being bounced by Kyle Square.,Kyle,Square,Lily,Triangle,Base_passive_4.jpg,Agent_passive_4.jpg,,
,FED_20170823a_3T2,,E,NA,204,204.005404163006,2,2.00374585099053,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
34,FED_20170823a_3T2,,E,37,206,206.011997008987,10,9.99442994300625,Agent,1,passive,Kyle Square is being rolled by Zach Star.,Zach,Star,Kyle,Square,Base_passive_37.jpg,Agent_passive_37.jpg,,N
