Trial,SubjID,Run,Order,ItemNumber,IntendedOnset,ActualOnset,IntendedDuration,ActualDuration,Condition,Flip,FlipMeaning,Sentence,AgentName,AgentShape,PatientName,PatientShape,BaseFilename,BlinkFilename,Response,Correct
,FED_20170823a_3T2,,D,NA,140,140.001445376023,2,2.00131680999766,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
22,FED_20170823a_3T2,,D,22,142,142.003464266018,4,3.99804182199296,Patient,0,active,Lily Triangle is rolling Kyle Square.,Lily,Triangle,Kyle,Square,Base_active_22.jpg,Patient_active_22.jpg,,
,FED_20170823a_3T2,,D,NA,146,146.002243205003,2,2.00001931100269,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
23,FED_20170823a_3T2,,D,8,148,148.002925140026,4,3.99872700497508,Patient,1,passive,Zach Star is being rolled by Kyle Square.,Kyle,Square,Zach,Star,Base_passive_8.jpg,Patient_passive_8.jpg,,
,FED_20170823a_3T2,,D,NA,152,152.002442923025,8,7.99941609898815,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
24,FED_20170823a_3T2,,D,41,160,160.002473989007,4,3.99935391900362,Patient,0,active,Zach Star is shaking Lily Triangle.,Zach,Star,Lily,Triangle,Base_active_41.jpg,Patient_active_41.jpg,,
25,FED_20170823a_3T2,,D,34,164,164.002441002027,4,3.99907512299251,Patient,0,active,Zach Star is bouncing Kyle Square.,Zach,Star,Kyle,Square,Base_active_34.jpg,Patient_active_34.jpg,,
26,FED_20170823a_3T2,,D,7,168,168.00213911201,4,3.99893441100721,Patient,1,passive,Lily Triangle is being rolled by Kyle Square.,Kyle,Square,Lily,Triangle,Base_passive_7.jpg,Patient_passive_7.jpg,,
27,FED_20170823a_3T2,,D,35,172,172.001691815007,4,3.99958757901913,Agent,1,passive,Lily Triangle is being bounced by Zach Star.,Zach,Star,Lily,Triangle,Base_passive_35.jpg,Agent_passive_35.jpg,,
28,FED_20170823a_3T2,,D,38,176,176.001897243026,4,3.9992962719989,Agent,0,active,Zach Star is rolling Lily Triangle.,Zach,Star,Lily,Triangle,Base_active_38.jpg,Agent_active_38.jpg,,
,FED_20170823a_3T2,,D,NA,180,180.001935692009,6,5.99988628301071,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
29,FED_20170823a_3T2,,D,23,186,186.002447829,4,3.99844785500318,Agent,0,active,Lily Triangle is rolling Zach Star.,Lily,Triangle,Zach,Star,Base_active_23.jpg,Agent_active_23.jpg,,
30,FED_20170823a_3T2,,D,40,190,190.001977222011,4,3.99883679201594,Patient,1,passive,Kyle Square is being shaken by Zach Star.,Zach,Star,Kyle,Square,Base_passive_40.jpg,Patient_passive_40.jpg,,
,FED_20170823a_3T2,,D,NA,194,194.001444050024,4,4.00064925098559,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
31,FED_20170823a_3T2,,D,7,198,198.00270360001,4,3.997713587014,Agent,0,active,Kyle Square is rolling Lily Triangle.,Kyle,Square,Lily,Triangle,Base_active_7.jpg,Agent_active_7.jpg,,
,FED_20170823a_3T2,,D,NA,202,202.001037467009,2,2.00115668500075,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
32,FED_20170823a_3T2,,D,5,204,204.002805851022,4,3.99898169899825,Agent,1,passive,Zach Star is being bounced by Kyle Square.,Kyle,Square,Zach,Star,Base_passive_5.jpg,Agent_passive_5.jpg,,
33,FED_20170823a_3T2,,D,22,208,208.002409279026,4,3.99909241299611,Agent,0,active,Lily Triangle is rolling Kyle Square.,Lily,Triangle,Kyle,Square,Base_active_22.jpg,Agent_active_22.jpg,,
,FED_20170823a_3T2,,D,NA,212,212.002118123026,6,6.00077023799531,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
34,FED_20170823a_3T2,,D,25,218,218.003507249028,4,3.99751778799691,Patient,1,passive,Kyle Square is being shaken by Lily Triangle.,Lily,Triangle,Kyle,Square,Base_passive_25.jpg,Patient_passive_25.jpg,,
,FED_20170823a_3T2,,D,NA,222,222.001645107026,6,6.00130089998129,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
35,FED_20170823a_3T2,,D,20,228,228.003558296012,10,9.99714455599315,Patient,0,active,Lily Triangle is bouncing Zach Star.,Lily,Triangle,Zach,Star,Base_active_20.jpg,Patient_active_20.jpg,,N
