Trial,SubjID,Run,Order,ItemNumber,IntendedOnset,ActualOnset,IntendedDuration,ActualDuration,Condition,Flip,FlipMeaning,Sentence,AgentName,AgentShape,PatientName,PatientShape,BaseFilename,BlinkFilename,Response,Correct
1,FED_20170824a_3T2,,B,41,0,0.000554087979253381,4,4.00015648201224,Patient,1,passive,Lily Triangle is being shaken by Zach Star.,Zach,Star,Lily,Triangle,Base_passive_41.jpg,Patient_passive_41.jpg,,
2,FED_20170824a_3T2,,B,40,4,4.0014881179959,4,4.00105004498619,Patient,0,active,Zach Star is shaking Kyle Square.,Zach,Star,Kyle,Square,Base_active_40.jpg,Patient_active_40.jpg,,
,FED_20170824a_3T2,,B,NA,8,8.00329547398724,2,2.00050617099623,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
3,FED_20170824a_3T2,,B,8,10,10.0047375040012,4,3.99703979300102,Agent,0,active,Kyle Square is rolling Zach Star.,Kyle,Square,Zach,Star,Base_active_8.jpg,Agent_active_8.jpg,,
4,FED_20170824a_3T2,,B,38,14,14.0026066259888,4,3.99852686098893,Patient,1,passive,Lily Triangle is being rolled by Zach Star.,Zach,Star,Lily,Triangle,Base_passive_38.jpg,Patient_passive_38.jpg,,
5,FED_20170824a_3T2,,B,7,18,18.001806988992,4,3.99942096899031,Patient,0,active,Kyle Square is rolling Lily Triangle.,Kyle,Square,Lily,Triangle,Base_active_7.jpg,Patient_active_7.jpg,,
6,FED_20170824a_3T2,,B,34,22,22.0019066479872,4,3.99903412201093,Patient,0,active,Zach Star is bouncing Kyle Square.,Zach,Star,Kyle,Square,Base_active_34.jpg,Patient_active_34.jpg,,
7,FED_20170824a_3T2,,B,41,26,26.0016305409954,4,3.99987936200341,Agent,0,active,Zach Star is shaking Lily Triangle.,Zach,Star,Lily,Triangle,Base_active_41.jpg,Agent_active_41.jpg,,
,FED_20170824a_3T2,,B,NA,30,30.0023349489784,2,2.00101856901892,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
8,FED_20170824a_3T2,,B,5,32,32.0040294139762,4,3.9978245079983,Patient,1,passive,Zach Star is being bounced by Kyle Square.,Kyle,Square,Zach,Star,Base_passive_5.jpg,Patient_passive_5.jpg,,
,FED_20170824a_3T2,,B,NA,36,36.0026798189792,4,4.00006033299724,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
9,FED_20170824a_3T2,,B,8,40,40.0034749249753,4,3.99835829102085,Patient,0,active,Kyle Square is rolling Zach Star.,Kyle,Square,Zach,Star,Base_active_8.jpg,Patient_active_8.jpg,,
10,FED_20170824a_3T2,,B,26,44,44.0025033249985,4,3.99813714798074,Patient,0,active,Lily Triangle is shaking Zach Star.,Lily,Triangle,Zach,Star,Base_active_26.jpg,Patient_active_26.jpg,,
11,FED_20170824a_3T2,,B,7,48,48.0013351999805,4,3.99978441101848,Agent,0,active,Kyle Square is rolling Lily Triangle.,Kyle,Square,Lily,Triangle,Base_active_7.jpg,Agent_active_7.jpg,,
12,FED_20170824a_3T2,,B,4,52,52.001823988976,10,9.99897421602509,Patient,0,active,Kyle Square is bouncing Lily Triangle.,Kyle,Square,Lily,Triangle,Base_active_4.jpg,Patient_active_4.jpg,,N
,FED_20170824a_3T2,,B,NA,62,62.0015057860001,2,2.00120679099928,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
13,FED_20170824a_3T2,,B,19,64,64.0036068139889,4,3.99833148199832,Agent,1,passive,Kyle Square is being bounced by Lily Triangle.,Lily,Triangle,Kyle,Square,Base_passive_19.jpg,Agent_passive_19.jpg,,
14,FED_20170824a_3T2,,B,37,68,68.0026045549894,4,3.99910424198606,Agent,1,passive,Kyle Square is being rolled by Zach Star.,Zach,Star,Kyle,Square,Base_passive_37.jpg,Agent_passive_37.jpg,,
,FED_20170824a_3T2,,B,NA,72,72.0024060180003,4,3.99991393997334,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
15,FED_20170824a_3T2,,B,20,76,76.0029698220023,4,3.99811816299916,Agent,1,passive,Zach Star is being bounced by Lily Triangle.,Lily,Triangle,Zach,Star,Base_passive_20.jpg,Agent_passive_20.jpg,,
,FED_20170824a_3T2,,B,NA,80,80.001820792997,2,2.00092003098689,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
16,FED_20170824a_3T2,,B,25,82,82.003373480984,4,3.99800073201186,Patient,1,passive,Kyle Square is being shaken by Lily Triangle.,Lily,Triangle,Kyle,Square,Base_passive_25.jpg,Patient_passive_25.jpg,,
17,FED_20170824a_3T2,,B,22,86,86.0020330509869,4,3.99874333300977,Patient,1,passive,Kyle Square is being rolled by Lily Triangle.,Lily,Triangle,Kyle,Square,Base_passive_22.jpg,Patient_passive_22.jpg,,
,FED_20170824a_3T2,,B,NA,90,90.0015567609807,6,6.00061169100809,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
18,FED_20170824a_3T2,,B,10,96,96.0028702109994,4,3.99773223500233,Agent,0,active,Kyle Square is shaking Lily Triangle.,Kyle,Square,Lily,Triangle,Base_active_10.jpg,Agent_active_10.jpg,,
,FED_20170824a_3T2,,B,NA,100,100.001551367983,2,2.00075496200589,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
19,FED_20170824a_3T2,,B,11,102,102.002959876001,4,3.99954252899624,Patient,0,active,Kyle Square is shaking Zach Star.,Kyle,Square,Zach,Star,Base_active_11.jpg,Patient_active_11.jpg,,
,FED_20170824a_3T2,,B,NA,106,106.003460248001,2,1.99853879297734,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
20,FED_20170824a_3T2,,B,26,108,108.002754973975,4,3.99898256201413,Patient,1,passive,Zach Star is being shaken by Lily Triangle.,Lily,Triangle,Zach,Star,Base_passive_26.jpg,Patient_passive_26.jpg,,
21,FED_20170824a_3T2,,B,22,112,112.002509983984,10,9.99807325599249,Agent,1,passive,Kyle Square is being rolled by Lily Triangle.,Lily,Triangle,Kyle,Square,Base_passive_22.jpg,Agent_passive_22.jpg,,N
22,FED_20170824a_3T2,,B,25,122,122.001426831994,4,3.9994270799798,Agent,1,passive,Kyle Square is being shaken by Lily Triangle.,Lily,Triangle,Kyle,Square,Base_passive_25.jpg,Agent_passive_25.jpg,,
23,FED_20170824a_3T2,,B,23,126,126.001470240997,4,3.99972600399633,Agent,1,passive,Zach Star is being rolled by Lily Triangle.,Lily,Triangle,Zach,Star,Base_passive_23.jpg,Agent_passive_23.jpg,,
,FED_20170824a_3T2,,B,NA,130,130.001824078994,4,4.00084668199997,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
24,FED_20170824a_3T2,,B,4,134,134.003416602995,4,3.99806586798513,Patient,1,passive,Lily Triangle is being bounced by Kyle Square.,Kyle,Square,Lily,Triangle,Base_passive_4.jpg,Patient_passive_4.jpg,,
25,FED_20170824a_3T2,,B,19,138,138.002094664,4,3.99946032199659,Agent,0,active,Lily Triangle is bouncing Kyle Square.,Lily,Triangle,Kyle,Square,Base_active_19.jpg,Agent_active_19.jpg,,
,FED_20170824a_3T2,,B,NA,142,142.002170214982,4,3.99990585999331,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
26,FED_20170824a_3T2,,B,5,146,146.002695545991,10,9.99790009198477,Agent,0,active,Kyle Square is bouncing Zach Star.,Kyle,Square,Zach,Star,Base_active_5.jpg,Agent_active_5.jpg,,N
27,FED_20170824a_3T2,,B,34,156,156.001235582982,4,3.9997606590041,Agent,0,active,Zach Star is bouncing Kyle Square.,Zach,Star,Kyle,Square,Base_active_34.jpg,Agent_active_34.jpg,,
,FED_20170824a_3T2,,B,NA,160,160.001612492983,2,2.00032247399213,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
28,FED_20170824a_3T2,,B,40,162,162.002547529992,4,3.99842717000865,Agent,0,active,Zach Star is shaking Kyle Square.,Zach,Star,Kyle,Square,Base_active_40.jpg,Agent_active_40.jpg,,
29,FED_20170824a_3T2,,B,25,166,166.001595762995,4,3.99955737800337,Patient,0,active,Lily Triangle is shaking Kyle Square.,Lily,Triangle,Kyle,Square,Base_active_25.jpg,Patient_active_25.jpg,,
,FED_20170824a_3T2,,B,NA,170,170.001761663996,6,6.00120664699352,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
30,FED_20170824a_3T2,,B,22,176,176.003586554987,4,3.99691775100655,Patient,0,active,Lily Triangle is rolling Kyle Square.,Lily,Triangle,Kyle,Square,Base_active_22.jpg,Patient_active_22.jpg,,
,FED_20170824a_3T2,,B,NA,180,180.001115394989,2,2.00086522998754,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
31,FED_20170824a_3T2,,B,5,182,182.002603626985,4,3.99818466498982,Agent,1,passive,Zach Star is being bounced by Kyle Square.,Kyle,Square,Zach,Star,Base_passive_5.jpg,Agent_passive_5.jpg,,
32,FED_20170824a_3T2,,B,40,186,186.001406671974,4,3.9990434780193,Agent,1,passive,Kyle Square is being shaken by Zach Star.,Zach,Star,Kyle,Square,Base_passive_40.jpg,Agent_passive_40.jpg,,
,FED_20170824a_3T2,,B,NA,190,190.001070504979,10,10.0021368520102,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
