Trial,SubjID,Run,Order,ItemNumber,IntendedOnset,ActualOnset,IntendedDuration,ActualDuration,Condition,Flip,FlipMeaning,Sentence,AgentName,AgentShape,PatientName,PatientShape,BaseFilename,BlinkFilename,Response,Correct
1,FED_20170824a_3T2,,E,10,0,0.000560575979761779,10,10.0018382359995,Agent,1,passive,Lily Triangle is being shaken by Kyle Square.,Kyle,Square,Lily,Triangle,Base_passive_10.jpg,Agent_passive_10.jpg,,N
,FED_20170824a_3T2,,E,NA,10,10.003696944972,2,1.99970219001989,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
2,FED_20170824a_3T2,,E,34,12,12.0040477769799,4,3.99668183500762,Patient,1,passive,Kyle Square is being bounced by Zach Star.,Zach,Star,Kyle,Square,Base_passive_34.jpg,Patient_passive_34.jpg,,
,FED_20170824a_3T2,,E,NA,16,16.0014896829962,2,2.00127399197663,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
3,FED_20170824a_3T2,,E,22,18,18.003569982975,4,3.99811274302192,Agent,0,active,Lily Triangle is rolling Kyle Square.,Lily,Triangle,Kyle,Square,Base_active_22.jpg,Agent_active_22.jpg,,
4,FED_20170824a_3T2,,E,37,22,22.0025631549943,4,3.99998315700213,Patient,0,active,Zach Star is rolling Kyle Square.,Zach,Star,Kyle,Square,Base_active_37.jpg,Patient_active_37.jpg,,
5,FED_20170824a_3T2,,E,25,26,26.0038503659889,4,3.9969025059836,Patient,0,active,Lily Triangle is shaking Kyle Square.,Lily,Triangle,Kyle,Square,Base_active_25.jpg,Patient_active_25.jpg,,
6,FED_20170824a_3T2,,E,7,30,30.0014022079995,4,3.99923678298364,Agent,0,active,Kyle Square is rolling Lily Triangle.,Kyle,Square,Lily,Triangle,Base_active_7.jpg,Agent_active_7.jpg,,
7,FED_20170824a_3T2,,E,23,34,34.0012964769849,4,4.00049106200458,Agent,1,passive,Zach Star is being rolled by Lily Triangle.,Lily,Triangle,Zach,Star,Base_passive_23.jpg,Agent_passive_23.jpg,,
8,FED_20170824a_3T2,,E,11,38,38.0028552359727,4,4.00062439602334,Agent,1,passive,Zach Star is being shaken by Kyle Square.,Kyle,Square,Zach,Star,Base_passive_11.jpg,Agent_passive_11.jpg,,
,FED_20170824a_3T2,,E,NA,42,42.0046957509767,2,1.99705700902268,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
9,FED_20170824a_3T2,,E,22,44,44.0024203679932,4,3.99875696000527,Agent,1,passive,Kyle Square is being rolled by Lily Triangle.,Lily,Triangle,Kyle,Square,Base_passive_22.jpg,Agent_passive_22.jpg,,
,FED_20170824a_3T2,,E,NA,48,48.001803577994,4,4.0018050269864,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
10,FED_20170824a_3T2,,E,34,52,52.0043982059869,4,3.99638905399479,Agent,1,passive,Kyle Square is being bounced by Zach Star.,Zach,Star,Kyle,Square,Base_passive_34.jpg,Agent_passive_34.jpg,,
11,FED_20170824a_3T2,,E,40,56,56.0014895889908,4,3.99917600900517,Patient,0,active,Zach Star is shaking Kyle Square.,Zach,Star,Kyle,Square,Base_active_40.jpg,Patient_active_40.jpg,,
,FED_20170824a_3T2,,E,NA,60,60.0013475819724,4,4.00206397401053,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
12,FED_20170824a_3T2,,E,11,64,64.0041673769883,4,3.99746573201264,Patient,1,passive,Zach Star is being shaken by Kyle Square.,Kyle,Square,Zach,Star,Base_passive_11.jpg,Patient_passive_11.jpg,,
13,FED_20170824a_3T2,,E,35,68,68.0023007809941,4,3.99828008798067,Agent,0,active,Zach Star is bouncing Lily Triangle.,Zach,Star,Lily,Triangle,Base_active_35.jpg,Agent_active_35.jpg,,
14,FED_20170824a_3T2,,E,7,72,72.0013408129744,4,4.00084535701899,Agent,1,passive,Lily Triangle is being rolled by Kyle Square.,Kyle,Square,Lily,Triangle,Base_passive_7.jpg,Agent_passive_7.jpg,,
,FED_20170824a_3T2,,E,NA,76,76.0028523479996,2,1.9996662089834,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
15,FED_20170824a_3T2,,E,11,78,78.0031808519852,4,3.99815395800397,Agent,0,active,Kyle Square is shaking Zach Star.,Kyle,Square,Zach,Star,Base_active_11.jpg,Agent_active_11.jpg,,
16,FED_20170824a_3T2,,E,25,82,82.0020093569765,4,3.99892806902062,Agent,1,passive,Kyle Square is being shaken by Lily Triangle.,Lily,Triangle,Kyle,Square,Base_passive_25.jpg,Agent_passive_25.jpg,,
17,FED_20170824a_3T2,,E,40,86,86.00159695599,4,3.99941068599583,Agent,1,passive,Kyle Square is being shaken by Zach Star.,Zach,Star,Kyle,Square,Base_passive_40.jpg,Agent_passive_40.jpg,,
,FED_20170824a_3T2,,E,NA,90,90.0016749099887,2,2.00013633500203,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
18,FED_20170824a_3T2,,E,41,92,92.0024879699922,4,3.99863508398994,Agent,0,active,Zach Star is shaking Lily Triangle.,Zach,Star,Lily,Triangle,Base_active_41.jpg,Agent_active_41.jpg,,
19,FED_20170824a_3T2,,E,10,96,96.0017788499827,4,3.99943350799731,Patient,1,passive,Lily Triangle is being shaken by Kyle Square.,Kyle,Square,Lily,Triangle,Base_passive_10.jpg,Patient_passive_10.jpg,,
20,FED_20170824a_3T2,,E,26,100,100.001974841987,4,3.9984368509904,Agent,1,passive,Zach Star is being shaken by Lily Triangle.,Lily,Triangle,Zach,Star,Base_passive_26.jpg,Agent_passive_26.jpg,,
,FED_20170824a_3T2,,E,NA,104,104.001027472987,6,6.00201009100419,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
21,FED_20170824a_3T2,,E,37,110,110.003678053996,10,9.99822657598997,Agent,0,active,Zach Star is rolling Kyle Square.,Zach,Star,Kyle,Square,Base_active_37.jpg,Agent_active_37.jpg,,N
,FED_20170824a_3T2,,E,NA,120,120.002578739979,4,4.0003574360162,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
22,FED_20170824a_3T2,,E,8,124,124.003599618998,4,3.99766724099754,Patient,1,passive,Zach Star is being rolled by Kyle Square.,Kyle,Square,Zach,Star,Base_passive_8.jpg,Patient_passive_8.jpg,,
,FED_20170824a_3T2,,E,NA,128,128.002013208985,6,5.99975848000031,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
23,FED_20170824a_3T2,,E,5,134,134.002390121983,4,3.99839412601432,Agent,0,active,Kyle Square is bouncing Zach Star.,Kyle,Square,Zach,Star,Base_active_5.jpg,Agent_active_5.jpg,,
24,FED_20170824a_3T2,,E,10,138,138.001405827992,4,3.99988189400756,Agent,0,active,Kyle Square is shaking Lily Triangle.,Kyle,Square,Lily,Triangle,Base_active_10.jpg,Agent_active_10.jpg,,
,FED_20170824a_3T2,,E,NA,142,142.001904561999,6,6.00049263998517,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
25,FED_20170824a_3T2,,E,19,148,148.003167429997,10,9.99824577698018,Agent,0,active,Lily Triangle is bouncing Kyle Square.,Lily,Triangle,Kyle,Square,Base_active_19.jpg,Agent_active_19.jpg,,N
26,FED_20170824a_3T2,,E,25,158,158.002044203982,4,3.99873331500567,Agent,0,active,Lily Triangle is shaking Kyle Square.,Lily,Triangle,Kyle,Square,Base_active_25.jpg,Agent_active_25.jpg,,
27,FED_20170824a_3T2,,E,7,162,162.001397110987,10,9.99922275298741,Patient,1,passive,Lily Triangle is being rolled by Kyle Square.,Kyle,Square,Lily,Triangle,Base_passive_7.jpg,Patient_passive_7.jpg,,N
,FED_20170824a_3T2,,E,NA,172,172.001250009984,2,2.00120922201313,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
28,FED_20170824a_3T2,,E,22,174,174.003075285,4,3.99955939399661,Patient,1,passive,Kyle Square is being rolled by Lily Triangle.,Lily,Triangle,Kyle,Square,Base_passive_22.jpg,Patient_passive_22.jpg,,
