Trial,SubjID,Run,Order,ItemNumber,IntendedOnset,ActualOnset,IntendedDuration,ActualDuration,Condition,Flip,FlipMeaning,Sentence,AgentName,AgentShape,PatientName,PatientShape,BaseFilename,BlinkFilename,Response,Correct
1,fakename,,A,25,0,0.00206135000917129,4,3.99917013099184,Patient,1,passive,Kyle Square is being shaken by Lily Triangle.,Lily,Triangle,Kyle,Square,Base_passive_25.jpg,Patient_passive_25.jpg,,
2,fakename,,A,25,4,4.00313121901127,4,3.997868542996,Agent,1,passive,Kyle Square is being shaken by Lily Triangle.,Lily,Triangle,Kyle,Square,Base_passive_25.jpg,Agent_passive_25.jpg,,
,fakename,,A,NA,8,8.00210742901254,6,6.00200283899903,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
3,fakename,,A,40,14,14.004955100012,4,3.99637018700014,Agent,1,passive,Kyle Square is being shaken by Zach Star.,Zach,Star,Kyle,Square,Base_passive_40.jpg,Agent_passive_40.jpg,,
4,fakename,,A,40,18,18.0018632220017,4,3.99928428600833,Agent,0,active,Zach Star is shaking Kyle Square.,Zach,Star,Kyle,Square,Base_active_40.jpg,Agent_active_40.jpg,,
,fakename,,A,NA,22,22.0016506410029,4,4.00059791600506,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
5,fakename,,A,7,26,26.0027554240078,4,3.99797746099648,Agent,0,active,Kyle Square is rolling Lily Triangle.,Kyle,Square,Lily,Triangle,Base_active_7.jpg,Agent_active_7.jpg,,
,fakename,,A,NA,30,30.0013628230081,2,2.00222836500325,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
6,fakename,,A,8,32,32.0044954059995,4,3.99648835300468,Patient,0,active,Kyle Square is rolling Zach Star.,Kyle,Square,Zach,Star,Base_active_8.jpg,Patient_active_8.jpg,,
7,fakename,,A,35,36,36.0016115090111,4,3.99976677499944,Agent,1,passive,Lily Triangle is being bounced by Zach Star.,Zach,Star,Lily,Triangle,Base_passive_35.jpg,Agent_passive_35.jpg,,
,fakename,,A,NA,40,40.0019425630016,2,2.00001307300408,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
8,fakename,,A,8,42,42.0024785600108,4,3.99807700898964,Agent,1,passive,Zach Star is being rolled by Kyle Square.,Kyle,Square,Zach,Star,Base_passive_8.jpg,Agent_passive_8.jpg,,
9,fakename,,A,19,46,46.0011624010076,4,3.9997835969989,Agent,1,passive,Kyle Square is being bounced by Lily Triangle.,Lily,Triangle,Kyle,Square,Base_passive_19.jpg,Agent_passive_19.jpg,,
,fakename,,A,NA,50,50.0015453080123,6,6.00060703599593,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
10,fakename,,A,41,56,56.0027624890063,10,9.99813908299257,Patient,0,active,Zach Star is shaking Lily Triangle.,Zach,Star,Lily,Triangle,Base_active_41.jpg,Patient_active_41.jpg,,N
11,fakename,,A,4,66,66.0014251510001,4,3.99978958300198,Patient,1,passive,Lily Triangle is being bounced by Kyle Square.,Kyle,Square,Lily,Triangle,Base_passive_4.jpg,Patient_passive_4.jpg,,
,fakename,,A,NA,70,70.001741650005,4,4.00002518300607,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
