Trial,SubjID,Run,Order,ItemNumber,IntendedOnset,ActualOnset,IntendedDuration,ActualDuration,Condition,Flip,FlipMeaning,Sentence,AgentName,AgentShape,PatientName,PatientShape,BaseFilename,BlinkFilename,Response,Correct
1,FED_20170825a_3T2,,A,25,0,0.00237314699916169,4,4.00035582997953,Patient,1,passive,Kyle Square is being shaken by Lily Triangle.,Lily,Triangle,Kyle,Square,Base_passive_25.jpg,Patient_passive_25.jpg,,
2,FED_20170825a_3T2,,A,25,4,4.00373142698663,4,3.99810490000527,Agent,1,passive,Kyle Square is being shaken by Lily Triangle.,Lily,Triangle,Kyle,Square,Base_passive_25.jpg,Agent_passive_25.jpg,,
,FED_20170825a_3T2,,A,NA,8,8.00278963998426,6,6.00207315001171,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
3,FED_20170825a_3T2,,A,40,14,14.0058095940039,4,3.99624682197464,Agent,1,passive,Kyle Square is being shaken by Zach Star.,Zach,Star,Kyle,Square,Base_passive_40.jpg,Agent_passive_40.jpg,,
4,FED_20170825a_3T2,,A,40,18,18.0027894889936,4,3.99766349300626,Agent,0,active,Zach Star is shaking Kyle Square.,Zach,Star,Kyle,Square,Base_active_40.jpg,Agent_active_40.jpg,,
,FED_20170825a_3T2,,A,NA,22,22.0011288189853,4,4.00089354300871,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
5,FED_20170825a_3T2,,A,7,26,26.0029890979931,4,3.99898954300443,Agent,0,active,Kyle Square is rolling Lily Triangle.,Kyle,Square,Lily,Triangle,Base_active_7.jpg,Agent_active_7.jpg,,
,FED_20170825a_3T2,,A,NA,30,30.0031539979973,2,2.00008763198275,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
6,FED_20170825a_3T2,,A,8,32,32.0040323229914,4,3.99794242001371,Patient,0,active,Kyle Square is rolling Zach Star.,Kyle,Square,Zach,Star,Base_active_8.jpg,Patient_active_8.jpg,,
7,FED_20170825a_3T2,,A,35,36,36.0032429059793,4,3.99868370700278,Agent,1,passive,Lily Triangle is being bounced by Zach Star.,Zach,Star,Lily,Triangle,Base_passive_35.jpg,Agent_passive_35.jpg,,
,FED_20170825a_3T2,,A,NA,40,40.0031025309872,2,1.9999599189905,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
8,FED_20170825a_3T2,,A,8,42,42.0038916789927,4,3.9975582640036,Agent,1,passive,Zach Star is being rolled by Kyle Square.,Kyle,Square,Zach,Star,Base_passive_8.jpg,Agent_passive_8.jpg,,
9,FED_20170825a_3T2,,A,19,46,46.0022280609992,4,3.99849158999859,Agent,1,passive,Kyle Square is being bounced by Lily Triangle.,Lily,Triangle,Kyle,Square,Base_passive_19.jpg,Agent_passive_19.jpg,,
,FED_20170825a_3T2,,A,NA,50,50.0014410929871,6,6.00163131399313,Fixation,NA,,NA,NA,NA,NA,NA,,,NA,NA
