Contrast name:,Group (agt)
Within-subjects contrast matrix:,c[1;1],c[1;2],
,1.000000,0.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,
Overlap threshold:,0.000000

Results
ROI#,average ROI size,average localizer mask size,inter-subject overlap,h[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,1885,188,1.000000,-0.477898,0.208124,-2.296219,2.000000,0.925733,0.971528
2,3322,332,1.000000,0.272284,0.152567,1.784682,2.000000,0.108120,0.378421
3,1525,152,1.000000,-0.434549,0.108381,-4.009457,2.000000,0.971528,0.971528
4,4182,418,1.000000,-0.198644,0.206319,-0.962801,2.000000,0.781382,0.971528
5,3419,341,1.000000,0.176894,0.087485,2.021993,2.000000,0.090272,0.378421
6,1313,131,1.000000,-0.062582,0.091886,-0.681080,2.000000,0.716950,0.971528
7,4051,405,1.000000,-0.022949,0.031351,-0.732025,2.000000,0.729844,0.971528
