Contrast name:,Group (agt)
Within-subjects contrast matrix:,c[1;1],c[1;2],
,1.000000,0.000000,
Between-subjects contrast matrix:,c[1;1],
,1.000000,
Overlap threshold:,0.000000

Results
ROI#,average ROI size,average localizer mask size,inter-subject overlap,h[1;1],stderr[1;1],T/F,dof,p,p-fdr
1,2948,294,1.000000,0.539275,0.098080,5.498302,3.000000,0.005920,0.035519
2,1627,162,1.000000,0.048126,0.032575,1.477398,3.000000,0.118040,0.141648
3,644,64,1.000000,0.140683,0.175362,0.802245,3.000000,0.240540,0.240540
4,743,74,1.000000,0.214990,0.067540,3.183139,3.000000,0.024987,0.074960
5,462,46,1.000000,0.617791,0.330363,1.870037,3.000000,0.079124,0.118686
6,370,37,1.000000,0.145405,0.062049,2.343394,3.000000,0.050455,0.100910
